LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2015
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";-;1;-;-;-;2;1;-;1;-;-;1;6
"210043 ALTO ALEGRE DO MARANHAO";-;-;-;1;-;-;-;-;2;-;-;-;3
"210047 ALTO ALEGRE DO PINDARE";-;-;-;-;-;-;-;1;-;-;-;-;1
"210060 AMARANTE DO MARANHAO";1;2;-;-;-;-;-;-;-;1;-;-;4
"210120 BACABAL";1;-;-;-;-;-;-;-;-;1;-;-;2
"210125 BACABEIRA";-;-;-;1;-;-;2;1;-;-;-;-;4
"210130 BACURI";-;-;1;-;-;-;-;-;-;-;-;-;1
"210140 BALSAS";-;2;-;-;-;-;3;3;2;-;1;-;11
"210150 BARAO DE GRAJAU";-;-;-;-;-;2;2;-;1;-;-;-;5
"210160 BARRA DO CORDA";2;1;1;-;1;3;1;2;-;1;-;-;12
"210170 BARREIRINHAS";-;-;-;-;1;1;-;-;1;-;-;-;3
"210203 BOM JESUS DAS SELVAS";-;-;-;-;-;-;1;-;-;-;-;-;1
"210230 BURITI BRAVO";-;-;-;-;-;-;2;-;-;1;-;-;3
"210232 BURITICUPU";-;-;1;-;-;-;1;-;1;-;-;1;4
"210280 CAROLINA";-;-;-;-;-;-;1;-;-;-;-;-;1
"210300 CAXIAS";1;3;1;2;-;-;4;2;-;3;5;1;22
"210320 CHAPADINHA";-;-;1;-;-;-;-;-;-;-;-;-;1
"210330 CODO";2;-;1;-;-;6;1;1;1;1;2;1;16
"210340 COELHO NETO";2;-;-;-;-;-;-;2;-;-;1;1;6
"210350 COLINAS";2;-;-;1;-;-;-;-;-;-;-;-;3
"210360 COROATA";-;2;-;1;2;2;1;1;1;-;-;-;10
"210390 DUQUE BACELAR";-;-;-;-;-;-;-;-;1;-;-;-;1
"210405 ESTREITO";-;-;-;-;-;-;-;-;1;-;-;-;1
