LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2019
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";1;1;1;1;2;4;2;2;-;-;-;-;14
"210030 ALDEIAS ALTAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"210043 ALTO ALEGRE DO MARANHAO";-;1;-;-;-;-;-;-;-;1;-;-;2
"210060 AMARANTE DO MARANHAO";-;-;-;1;-;-;-;-;-;-;-;-;1
"210070 ANAJATUBA";-;-;-;-;-;-;-;-;-;1;-;-;1
"210140 BALSAS";1;-;-;1;2;-;1;-;1;1;2;-;9
"210150 BARAO DE GRAJAU";-;-;-;-;-;-;-;-;1;-;-;-;1
"210160 BARRA DO CORDA";-;-;-;-;-;1;-;-;-;-;1;-;2
"210203 BOM JESUS DAS SELVAS";-;1;-;-;-;-;-;-;-;-;-;-;1
"210220 BURITI";-;-;-;-;-;-;-;-;-;2;-;-;2
"210230 BURITI BRAVO";-;-;-;-;-;1;1;-;1;-;2;-;5
"210232 BURITICUPU";-;-;1;-;-;-;-;1;1;-;-;-;3
"210300 CAXIAS";-;-;4;1;1;-;4;3;1;-;1;1;16
"210320 CHAPADINHA";2;-;2;1;1;2;3;2;-;1;1;-;15
"210330 CODO";1;-;1;1;-;-;1;-;-;-;-;-;4
"210340 COELHO NETO";1;-;-;-;-;-;-;-;-;-;3;-;4
"210350 COLINAS";-;1;-;-;-;-;-;-;-;-;-;-;1
"210360 COROATA";-;-;-;-;-;-;1;-;-;-;-;-;1
"210390 DUQUE BACELAR";-;-;-;-;-;-;-;1;-;-;-;-;1
"210405 ESTREITO";1;-;-;-;-;-;-;-;-;-;-;-;1
"210420 FORTUNA";-;-;-;-;-;-;1;-;-;-;-;-;1
"210455 GOVERNADOR EDISON LOBAO";-;-;-;-;-;-;1;-;-;-;-;-;1
"210480 GRAJAU";-;1;1;1;1;-;-;-;1;-;-;-;5
"210520 IGARAPE GRANDE";-;-;1;-;-;-;-;-;-;-;-;-;1
"210530 IMPERATRIZ";3;5;3;10;7;5;8;9;4;5;4;10;73
"210540 ITAPECURU MIRIM";3;-;-;-;-;-;-;-;-;1;-;-;4
"210550 JOAO LISBOA";-;-;-;-;-;1;-;1;-;-;-;-;2
"210660 MATOES";-;2;-;1;-;1;-;-;-;1;-;-;5
"210690 MONCAO";-;-;1;-;1;1;-;-;-;-;-;-;3
