LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2022
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";-;1;-;2;2;1;1;1;-;-;1;1;10
"210050 ALTO PARNAIBA";-;-;1;-;-;-;-;-;-;-;-;-;1
"210060 AMARANTE DO MARANHAO";-;-;-;-;-;-;-;-;-;-;1;1;2
"210070 ANAJATUBA";-;-;-;1;-;-;-;-;-;-;-;-;1
"210095 ARAME";-;-;-;-;-;-;-;-;1;-;-;-;1
"210120 BACABAL";-;-;-;-;-;-;1;1;-;-;-;-;2
"210125 BACABEIRA";-;-;-;-;-;1;-;1;-;-;-;-;2
"210140 BALSAS";-;1;-;1;-;-;-;2;-;-;-;-;4
"210160 BARRA DO CORDA";-;-;2;-;1;-;1;-;-;-;-;-;4
"210200 BOM JARDIM";1;-;-;1;-;-;-;-;-;1;-;-;3
"210210 BREJO";-;-;-;-;-;1;-;-;-;-;-;-;1
"210232 BURITICUPU";-;-;-;-;-;-;1;-;-;-;1;1;3
"210255 CAMPESTRE DO MARANHAO";-;-;-;-;-;-;-;-;1;-;-;-;1
"210300 CAXIAS";1;-;3;1;-;-;2;1;2;-;-;1;11
"210317 CENTRO NOVO DO MARANHAO";-;-;-;-;-;1;-;-;-;-;-;-;1
"210320 CHAPADINHA";2;1;1;1;1;-;-;-;2;1;1;-;10
"210330 CODO";1;-;-;1;-;1;-;-;-;-;-;-;3
"210350 COLINAS";3;-;-;2;2;-;-;-;-;1;-;-;8
"210360 COROATA";-;-;-;1;-;-;-;-;-;-;-;-;1
"210380 DOM PEDRO";-;-;-;-;-;1;-;-;-;-;-;-;1
"210390 DUQUE BACELAR";-;-;1;-;-;-;-;-;-;-;-;1;2
"210405 ESTREITO";-;-;1;-;1;-;-;-;1;-;-;-;3
"210420 FORTUNA";-;-;-;1;-;-;-;-;-;-;-;-;1
"210460 GOVERNADOR EUGENIO BARROS";-;-;-;1;-;-;-;-;-;-;-;-;1
"210462 GOVERNADOR LUIZ ROCHA";-;-;-;1;-;-;-;-;-;-;-;-;1
"210467 GOVERNADOR NUNES FREIRE";-;-;-;-;-;-;-;-;-;1;-;-;1
"210480 GRAJAU";-;-;-;-;-;-;1;-;-;-;1;-;2
"210530 IMPERATRIZ";3;5;1;3;2;6;5;5;2;4;-;2;38
"210540 ITAPECURU MIRIM";-;-;-;-;-;-;-;-;-;-;1;-;1
"210542 ITINGA DO MARANHAO";-;-;-;-;-;1;-;-;-;-;-;-;1
"210570 LAGO DA PEDRA";-;-;-;-;-;-;-;-;1;-;-;-;1
"210580 LAGO DO JUNCO";-;-;-;-;-;-;-;1;-;-;-;-;1
"210590 LAGO VERDE";-;-;-;-;-;-;1;-;-;-;-;-;1
"210660 MATOES";-;-;-;-;-;-;-;1;-;-;-;-;1
"210670 MIRADOR";1;-;-;-;-;-;-;-;-;-;-;-;1
"210690 MONCAO";-;-;-;-;-;-;1;-;-;-;-;-;1
"210720 NINA RODRIGUES";-;-;-;-;-;1;-;-;-;-;-;-;1
"210735 NOVA OLINDA DO MARANHAO";-;-;-;-;-;-;-;-;-;-;-;1;1
"210750 PACO DO LUMIAR";-;-;-;-;-;-;-;1;-;-;-;-;1
"210800 PASTOS BONS";-;-;-;-;1;-;-;-;-;-;-;-;1
"210820 PEDREIRAS";-;1;-;-;-;-;-;-;-;-;1;-;2
"210900 PORTO FRANCO";-;1;1;1;1;-;-;1;2;1;-;-;8
"210910 PRESIDENTE DUTRA";1;-;-;1;-;-;-;-;-;-;-;2;4
"210950 RIACHAO";-;-;-;-;-;-;-;1;-;-;-;-;1
"210990 SANTA INES";-;-;-;-;-;-;2;-;1;1;-;-;4
"211020 SANTA RITA";-;-;-;-;-;-;-;-;1;-;-;-;1
"211070 SAO DOMINGOS DO MARANHAO";-;-;-;-;-;-;-;1;-;-;-;1;2
"211105 SAO JOAO DO PARAISO";-;1;-;-;-;-;-;-;-;-;-;-;1
"211110 SAO JOAO DOS PATOS";-;-;-;-;-;-;-;-;-;1;-;-;1
"211120 SAO JOSE DE RIBAMAR";-;1;-;-;-;-;1;-;-;-;-;-;2
"211130 SAO LUIS";12;10;16;13;14;16;16;18;13;14;7;13;162
"211195 SUCUPIRA DO RIACHAO";-;-;-;-;-;-;-;-;1;-;-;-;1
"211210 TIMBIRAS";-;-;-;-;-;-;-;1;-;-;-;1;2
"211220 TIMON";-;-;-;-;-;-;-;-;-;1;-;-;1
"211280 VIANA";-;-;-;-;-;-;-;-;-;1;-;-;1
"Total";25;22;27;32;25;30;33;36;28;27;14;25;324
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023
 
