LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2009
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";-;5;2;-;1;9;-;4;1;1;-;-;23
"210060 AMARANTE DO MARANHAO";1;-;-;2;1;1;2;-;-;-;-;-;7
"210120 BACABAL";-;-;-;-;-;1;-;-;-;-;-;-;1
"210140 BALSAS";-;1;-;-;1;1;-;-;1;-;-;1;5
"210160 BARRA DO CORDA";-;-;-;-;1;2;1;1;3;2;1;1;12
"210193 BERNARDO DO MEARIM";-;-;-;-;-;-;1;-;-;-;-;-;1
"210210 BREJO";-;1;-;-;1;-;-;1;-;-;1;-;4
"210270 CANTANHEDE";-;1;-;-;-;-;-;1;-;-;-;-;2
"210300 CAXIAS";1;2;1;-;1;5;3;7;6;3;1;4;34
"210320 CHAPADINHA";-;-;-;1;-;1;-;1;2;-;1;-;6
"210330 CODO";-;2;-;1;2;1;1;2;1;-;2;2;14
"210340 COELHO NETO";2;1;-;-;1;-;-;-;-;1;-;1;6
"210350 COLINAS";2;1;1;2;2;4;3;2;-;-;-;-;17
"210360 COROATA";1;-;1;-;1;-;-;1;-;1;-;-;5
"210370 CURURUPU";1;-;2;-;-;1;-;1;-;-;-;-;5
"210375 DAVINOPOLIS";-;-;-;-;-;1;-;1;-;-;-;-;2
"210380 DOM PEDRO";-;-;-;-;1;1;1;-;-;-;-;-;3
"210420 FORTUNA";-;-;-;-;-;-;-;-;-;-;-;1;1
"210440 GONCALVES DIAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"210450 GOVERNADOR ARCHER";-;-;-;-;-;-;-;-;-;-;-;1;1
"210455 GOVERNADOR EDISON LOBAO";-;-;-;-;2;1;2;2;-;1;2;-;10
"210460 GOVERNADOR EUGENIO BARROS";-;-;-;-;-;-;-;-;1;-;-;-;1
"210480 GRAJAU";-;-;-;-;-;-;-;-;2;1;-;-;3
"210530 IMPERATRIZ";2;1;2;4;6;5;5;6;4;4;2;2;43
"210540 ITAPECURU MIRIM";-;-;-;-;-;1;3;3;-;-;2;1;10
"210550 JOAO LISBOA";-;-;1;-;1;-;-;2;-;1;1;-;6
"210560 JOSELANDIA";-;-;-;-;1;-;-;-;-;-;-;-;1
"210594 LAGO DOS RODRIGUES";-;-;-;-;-;-;-;-;1;-;-;-;1
"210598 LAJEADO NOVO";-;-;-;-;-;-;-;-;-;-;-;1;1
"210650 MATINHA";-;-;1;-;-;-;-;-;-;-;-;-;1
"210675 MIRANDA DO NORTE";-;-;-;-;-;-;1;2;2;-;1;-;6
"210700 MONTES ALTOS";-;-;-;-;-;-;1;-;-;-;-;1;2
"210750 PACO DO LUMIAR";-;1;-;-;-;-;-;-;-;-;-;-;1
"210790 PASSAGEM FRANCA";-;-;-;-;1;-;1;-;-;-;-;-;2
"210820 PEDREIRAS";-;-;1;-;1;-;1;1;1;1;1;-;7
"210900 PORTO FRANCO";-;-;1;1;3;3;1;1;-;-;-;3;13
"210910 PRESIDENTE DUTRA";1;-;1;-;-;1;-;-;-;-;-;1;4
"210950 RIACHAO";1;-;-;-;-;-;-;-;-;-;-;-;1
"211030 SANTO ANTONIO DOS LOPES";-;1;-;-;-;-;1;-;-;-;-;-;2
"211070 SAO DOMINGOS DO MARANHAO";-;-;-;-;-;-;1;-;-;-;-;-;1
"211110 SAO JOAO DOS PATOS";-;-;-;-;-;-;-;-;-;1;-;-;1
"211120 SAO JOSE DE RIBAMAR";2;-;2;-;-;1;1;-;-;-;-;-;6
"211130 SAO LUIS";5;10;7;6;2;2;10;12;10;7;6;6;83
"211160 SAO RAIMUNDO DAS MANGABEIRAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"211176 SENADOR LA ROCQUE";-;-;-;-;-;1;-;1;1;-;-;-;3
"211210 TIMBIRAS";-;-;-;-;-;1;-;-;-;-;-;-;1
