LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2018
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";-;-;1;1;-;1;2;-;1;2;3;-;11
"210030 ALDEIAS ALTAS";1;-;-;-;-;-;-;-;-;-;-;-;1
"210043 ALTO ALEGRE DO MARANHAO";-;-;-;1;-;-;-;-;-;-;-;-;1
"210070 ANAJATUBA";-;-;-;-;-;-;-;1;-;-;-;-;1
"210087 ARAGUANA";-;1;-;-;-;-;-;-;-;-;-;-;1
"210120 BACABAL";-;-;-;-;-;3;1;-;-;1;-;-;5
"210125 BACABEIRA";-;-;-;-;-;-;-;-;-;1;-;-;1
"210140 BALSAS";3;6;2;2;1;1;2;2;1;-;-;-;20
"210150 BARAO DE GRAJAU";-;-;-;-;-;-;-;-;-;1;-;-;1
"210160 BARRA DO CORDA";3;1;-;-;-;-;4;2;-;-;-;1;11
"210170 BARREIRINHAS";-;-;-;-;-;1;-;-;-;1;1;-;3
"210200 BOM JARDIM";-;1;-;-;-;-;-;-;-;-;-;1;2
"210230 BURITI BRAVO";-;1;-;-;2;-;1;-;1;-;-;-;5
"210232 BURITICUPU";-;1;-;-;-;-;-;-;1;-;-;-;2
"210300 CAXIAS";1;1;2;1;2;3;3;-;4;-;2;1;20
"210320 CHAPADINHA";-;-;1;3;1;2;-;3;4;3;2;-;19
"210330 CODO";1;2;1;-;-;-;2;1;1;2;1;-;11
"210340 COELHO NETO";-;-;-;-;-;1;1;-;1;-;-;-;3
"210350 COLINAS";-;-;3;-;-;-;-;-;1;-;-;2;6
"210360 COROATA";1;1;-;-;-;2;1;-;-;-;1;-;6
"210380 DOM PEDRO";-;-;-;-;-;-;-;-;1;-;-;-;1
"210405 ESTREITO";1;-;-;1;-;1;-;-;-;-;-;1;4
"210460 GOVERNADOR EUGENIO BARROS";-;1;-;-;-;-;-;-;-;-;-;-;1
"210480 GRAJAU";-;-;1;-;1;1;-;-;-;-;-;1;4
"210515 IGARAPE DO MEIO";-;-;-;-;-;-;-;-;1;-;-;-;1
"210530 IMPERATRIZ";10;7;10;13;8;15;18;12;13;7;7;3;123
"210535 ITAIPAVA DO GRAJAU";-;-;-;-;-;-;1;-;-;-;-;-;1
"210540 ITAPECURU MIRIM";2;1;-;-;2;2;1;-;-;1;1;2;12
"210545 JATOBA";-;-;-;-;-;1;-;-;-;-;-;-;1
