LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2011
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";2;2;1;-;2;-;1;2;1;2;-;1;14
"210060 AMARANTE DO MARANHAO";-;-;1;1;1;3;1;-;1;-;1;-;9
"210080 ANAPURUS";-;-;-;-;-;1;-;-;-;-;-;-;1
"210120 BACABAL";-;-;-;-;-;-;1;-;-;-;-;-;1
"210125 BACABEIRA";-;-;1;-;2;-;-;-;-;1;-;-;4
"210130 BACURI";-;-;-;-;-;-;-;-;1;-;-;-;1
"210140 BALSAS";-;-;1;-;-;1;-;2;-;-;-;-;4
"210160 BARRA DO CORDA";-;1;-;2;4;4;2;-;1;-;1;1;16
"210215 BREJO DE AREIA";-;-;-;-;-;-;-;-;1;-;-;-;1
"210280 CAROLINA";-;-;-;-;-;-;-;-;-;-;-;1;1
"210300 CAXIAS";2;3;5;4;3;7;8;1;4;1;2;-;40
"210320 CHAPADINHA";2;1;1;2;1;3;-;1;1;-;-;1;13
"210330 CODO";-;-;1;1;-;-;1;1;1;-;-;-;5
"210340 COELHO NETO";-;-;1;2;-;1;-;-;-;-;-;-;4
"210360 COROATA";-;-;-;-;-;-;-;-;1;-;-;-;1
"210380 DOM PEDRO";1;-;-;-;-;-;-;-;-;-;-;1;2
"210405 ESTREITO";-;-;1;-;-;-;-;2;-;-;-;-;3
"210409 FORMOSA DA SERRA NEGRA";-;-;-;-;-;-;1;-;-;-;-;-;1
"210450 GOVERNADOR ARCHER";-;-;-;-;1;-;1;-;-;1;-;-;3
"210455 GOVERNADOR EDISON LOBAO";1;-;-;-;-;-;-;1;-;-;-;-;2
"210480 GRAJAU";1;-;1;-;-;1;1;2;3;1;-;-;10
"210530 IMPERATRIZ";2;4;3;3;4;5;14;6;6;4;6;6;63
"210540 ITAPECURU MIRIM";-;-;3;2;-;1;-;-;3;1;1;-;11
"210550 JOAO LISBOA";3;3;2;1;-;2;-;2;-;-;1;-;14
"210560 JOSELANDIA";-;-;-;-;1;-;-;-;-;-;-;-;1
"210660 MATOES";-;-;-;-;-;-;-;2;1;1;-;1;5
"210675 MIRANDA DO NORTE";-;-;-;1;-;-;-;-;-;-;-;-;1
"210700 MONTES ALTOS";-;-;-;-;-;1;-;-;-;-;-;-;1
"210750 PACO DO LUMIAR";-;-;-;1;-;-;-;-;-;-;-;-;1
"210820 PEDREIRAS";-;-;-;-;-;-;-;-;-;-;1;1;2
"210900 PORTO FRANCO";-;2;3;2;3;1;-;2;1;2;-;-;16
"210910 PRESIDENTE DUTRA";-;-;-;2;-;1;-;2;-;-;1;-;6
"210923 PRESIDENTE MEDICI";-;1;-;-;-;-;-;-;-;-;-;-;1
"210950 RIACHAO";-;-;-;-;1;-;-;-;-;-;-;-;1
"211020 SANTA RITA";-;-;-;-;-;1;-;-;-;-;-;-;1
"211030 SANTO ANTONIO DOS LOPES";-;-;-;-;-;1;-;-;-;-;-;-;1
"211060 SAO BERNARDO";-;-;-;1;-;-;-;-;-;-;-;-;1
"211107 SAO JOAO DO SOTER";-;1;-;-;-;-;-;-;-;-;-;-;1
"211120 SAO JOSE DE RIBAMAR";-;1;-;1;-;-;-;-;-;-;-;-;2
"211130 SAO LUIS";6;3;7;9;12;9;14;11;12;9;9;5;106
"211180 SITIO NOVO";-;1;-;-;-;-;-;-;-;-;-;-;1
"211210 TIMBIRAS";-;-;-;-;-;1;-;-;-;-;-;-;1
"211220 TIMON";-;-;-;-;1;-;-;-;-;-;-;-;1
"211250 TUTOIA";-;-;-;-;-;-;-;-;-;-;-;4;4
"211270 VARGEM GRANDE";1;-;-;1;-;-;-;-;-;-;-;-;2
"Total";21;23;32;36;36;44;45;37;38;23;23;22;380
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023
 
