LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2014
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";-;2;-;-;-;-;-;-;-;-;-;-;2
"210030 ALDEIAS ALTAS";-;-;-;-;-;-;1;-;-;-;-;-;1
"210043 ALTO ALEGRE DO MARANHAO";-;-;-;-;1;1;1;-;-;-;-;-;3
"210060 AMARANTE DO MARANHAO";-;-;-;-;1;-;-;-;1;1;3;1;7
"210120 BACABAL";-;-;-;-;-;1;1;-;1;-;-;-;3
"210140 BALSAS";1;-;1;-;1;1;1;-;-;1;-;-;6
"210160 BARRA DO CORDA";2;2;-;2;2;2;-;2;3;3;1;2;21
"210170 BARREIRINHAS";-;-;-;-;1;1;-;-;-;-;-;-;2
"210230 BURITI BRAVO";-;1;1;-;-;-;-;-;-;-;-;-;2
"210232 BURITICUPU";-;-;1;1;-;-;-;-;-;-;-;-;2
"210235 BURITIRANA";1;-;-;-;-;-;2;-;1;-;-;-;4
"210270 CANTANHEDE";-;1;-;-;-;-;1;-;-;-;-;-;2
"210275 CAPINZAL DO NORTE";1;-;-;-;-;-;-;-;-;-;-;-;1
"210300 CAXIAS";4;3;3;3;4;5;3;-;1;1;3;4;34
"210320 CHAPADINHA";-;-;-;-;2;3;-;-;2;1;-;-;8
"210330 CODO";1;-;-;-;-;2;4;-;1;1;-;-;9
"210340 COELHO NETO";-;-;1;-;1;1;-;-;-;-;-;1;4
"210350 COLINAS";-;-;-;2;-;-;1;1;-;2;1;-;7
"210360 COROATA";2;1;-;-;1;-;4;3;-;1;-;1;13
"210375 DAVINOPOLIS";-;-;-;-;-;-;-;1;-;-;-;-;1
"210380 DOM PEDRO";-;-;-;-;-;-;-;-;-;-;1;-;1
"210390 DUQUE BACELAR";1;-;-;-;-;-;-;-;-;-;-;-;1
"210405 ESTREITO";-;-;-;-;-;-;-;-;-;1;-;-;1
"210450 GOVERNADOR ARCHER";-;-;-;-;1;-;-;-;-;-;-;-;1
"210480 GRAJAU";-;2;1;1;-;2;2;1;2;1;1;1;14
"210530 IMPERATRIZ";-;2;4;-;5;4;2;4;1;2;2;-;26
"210540 ITAPECURU MIRIM";-;-;1;-;-;-;-;-;-;-;-;-;1
"210542 ITINGA DO MARANHAO";1;-;-;-;-;-;-;-;-;-;-;-;1
"210550 JOAO LISBOA";-;-;-;1;-;-;-;-;-;-;-;-;1
"210592 LAGOA DO MATO";-;-;-;-;-;-;-;-;-;-;-;1;1
"210690 MONCAO";-;1;-;-;-;-;-;-;-;-;-;-;1
"210780 PARNARAMA";-;-;-;-;1;-;-;-;-;-;-;-;1
"210790 PASSAGEM FRANCA";-;-;-;-;-;-;-;-;-;-;-;1;1
"210820 PEDREIRAS";1;-;1;-;-;1;-;-;-;-;1;-;4
"210845 PERITORO";1;-;-;-;-;-;-;-;1;-;-;-;2
"210890 POCAO DE PEDRAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"210945 RAPOSA";1;-;-;-;-;-;-;-;-;-;-;-;1
"210950 RIACHAO";-;-;1;-;-;-;-;-;1;3;-;-;5
"210990 SANTA INES";2;-;-;2;1;1;1;-;1;1;-;-;9
"211000 SANTA LUZIA";1;1;-;-;-;-;1;-;2;-;-;-;5
"211020 SANTA RITA";1;-;-;1;-;-;-;-;-;-;-;-;2
"211070 SAO DOMINGOS DO MARANHAO";1;-;1;-;-;-;-;-;2;-;-;1;5
"211120 SAO JOSE DE RIBAMAR";-;1;2;-;1;1;1;-;1;-;-;-;7
"211130 SAO LUIS";19;13;14;14;24;21;24;19;13;14;6;7;188
"211176 SENADOR LA ROCQUE";-;-;-;-;-;1;1;-;-;-;-;-;2
"211180 SITIO NOVO";-;1;-;-;-;-;-;-;-;-;-;-;1
"211210 TIMBIRAS";-;-;-;3;2;4;-;-;-;1;-;-;10
"211223 TRIZIDELA DO VALE";1;-;-;-;-;-;-;-;-;-;-;-;1
"211250 TUTOIA";-;-;-;-;-;-;-;-;-;1;-;-;1
"211270 VARGEM GRANDE";-;-;-;-;-;-;-;-;-;1;-;-;1
"211290 VITORIA DO MEARIM";-;-;-;-;-;1;-;-;-;-;-;-;1
"211300 VITORINO FREIRE";1;-;-;-;-;-;-;-;-;-;-;-;1
"Total";43;31;32;30;49;53;51;32;34;36;19;20;430
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023
 
