LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2020
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";1;-;2;1;-;-;-;1;1;-;1;-;7
"210043 ALTO ALEGRE DO MARANHAO";-;-;-;-;-;-;-;-;1;-;-;-;1
"210047 ALTO ALEGRE DO PINDARE";-;-;-;-;-;-;1;-;-;-;-;-;1
"210060 AMARANTE DO MARANHAO";-;-;-;-;-;-;2;-;-;-;-;-;2
"210080 ANAPURUS";-;1;-;-;-;-;-;-;-;-;-;-;1
"210087 ARAGUANA";-;-;-;-;-;-;-;-;1;-;1;-;2
"210095 ARAME";-;-;-;-;-;1;-;-;-;-;-;-;1
"210140 BALSAS";2;1;-;1;1;-;-;1;-;-;-;-;6
"210150 BARAO DE GRAJAU";-;-;-;-;-;-;1;-;-;-;-;-;1
"210160 BARRA DO CORDA";-;-;-;1;1;1;-;-;-;-;-;-;3
"210170 BARREIRINHAS";-;-;-;1;1;-;1;1;-;-;-;-;4
"210200 BOM JARDIM";-;-;-;-;-;-;-;-;3;4;2;2;11
"210203 BOM JESUS DAS SELVAS";-;-;-;-;-;1;-;-;-;1;-;-;2
"210230 BURITI BRAVO";-;-;1;-;-;2;-;-;-;-;-;1;4
"210232 BURITICUPU";-;-;-;-;-;-;1;-;-;-;-;-;1
"210275 CAPINZAL DO NORTE";-;-;-;-;-;1;-;-;-;1;-;-;2
"210300 CAXIAS";-;-;-;-;1;-;1;2;-;1;-;-;5
"210320 CHAPADINHA";1;1;2;1;1;3;3;1;-;2;1;-;16
"210330 CODO";-;1;1;-;1;-;1;1;-;1;1;-;7
"210340 COELHO NETO";-;-;-;-;1;1;-;-;-;-;1;-;3
"210350 COLINAS";-;-;1;-;-;-;-;-;-;1;-;-;2
"210360 COROATA";-;-;-;-;-;-;-;1;-;-;-;-;1
"210400 ESPERANTINOPOLIS";-;-;-;-;-;-;-;-;1;-;-;-;1
"210405 ESTREITO";-;1;-;-;-;-;-;-;-;-;-;-;1
"210410 FORTALEZA DOS NOGUEIRAS";-;-;-;-;-;-;1;-;-;-;-;-;1
"210420 FORTUNA";-;-;-;-;-;1;-;-;-;-;-;-;1
"210450 GOVERNADOR ARCHER";-;-;-;-;-;-;1;-;-;-;-;-;1
"210467 GOVERNADOR NUNES FREIRE";-;-;-;-;-;1;1;3;1;-;-;-;6
"210480 GRAJAU";1;-;-;-;1;-;-;1;-;1;-;2;6
"210520 IGARAPE GRANDE";-;-;-;-;-;-;-;-;1;-;-;1;2
"210530 IMPERATRIZ";4;5;1;1;5;2;4;4;5;3;1;1;36
"210540 ITAPECURU MIRIM";-;-;-;1;1;-;1;-;-;-;-;-;3
"210550 JOAO LISBOA";-;-;-;-;-;-;2;-;-;-;-;-;2
"210632 MARACACUME";-;-;-;-;-;-;-;-;-;1;-;-;1
"210660 MATOES";-;2;-;-;-;-;-;-;-;-;-;1;3
