LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2010
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";2;-;2;2;4;4;1;2;2;2;4;-;25
"210030 ALDEIAS ALTAS";-;-;-;-;-;-;-;-;-;-;2;1;3
"210060 AMARANTE DO MARANHAO";1;1;1;-;-;-;-;-;-;1;1;-;5
"210080 ANAPURUS";-;-;-;-;-;-;-;-;-;1;-;-;1
"210120 BACABAL";-;1;-;-;-;-;-;-;-;-;-;1;2
"210140 BALSAS";2;1;-;1;-;-;-;-;-;-;-;-;4
"210160 BARRA DO CORDA";-;2;1;4;1;-;1;6;1;2;-;-;18
"210220 BURITI";-;-;-;-;-;-;-;-;-;-;1;-;1
"210230 BURITI BRAVO";-;-;1;-;-;-;-;-;-;-;-;-;1
"210235 BURITIRANA";2;-;-;-;-;-;-;-;-;-;-;-;2
"210270 CANTANHEDE";-;-;-;-;-;1;-;-;-;-;-;-;1
"210300 CAXIAS";6;3;4;3;1;5;2;5;5;2;1;5;42
"210320 CHAPADINHA";1;1;-;1;1;-;2;-;-;-;-;-;6
"210330 CODO";-;1;1;-;-;1;3;-;-;-;-;-;6
"210340 COELHO NETO";-;-;1;-;-;-;-;1;2;1;-;-;5
"210360 COROATA";-;2;1;-;-;-;-;-;-;1;-;1;5
"210400 ESPERANTINOPOLIS";-;-;-;1;1;-;1;-;-;-;-;-;3
"210440 GONCALVES DIAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"210450 GOVERNADOR ARCHER";-;-;-;1;-;-;-;-;-;-;-;-;1
"210455 GOVERNADOR EDISON LOBAO";1;1;-;-;-;-;-;-;-;-;-;-;2
"210480 GRAJAU";-;1;-;-;-;1;2;1;-;-;-;-;5
"210530 IMPERATRIZ";3;-;2;6;5;2;8;5;-;-;-;2;33
"210540 ITAPECURU MIRIM";2;1;-;5;4;4;1;5;4;1;3;1;31
"210550 JOAO LISBOA";-;-;2;3;-;1;-;-;1;-;1;-;8
"210570 LAGO DA PEDRA";-;-;-;-;-;1;-;-;-;1;-;1;3
"210590 LAGO VERDE";-;-;-;-;-;-;-;-;1;-;1;-;2
"210630 MAGALHAES DE ALMEIDA";-;-;-;-;-;-;-;-;1;-;-;-;1
"210660 MATOES";-;-;-;1;-;-;-;-;-;-;-;-;1
"210675 MIRANDA DO NORTE";1;1;-;-;1;2;1;1;1;1;-;-;9
"210720 NINA RODRIGUES";1;-;-;-;-;-;-;-;-;-;-;-;1
"210820 PEDREIRAS";-;-;-;-;1;2;2;-;-;-;-;-;5
"210900 PORTO FRANCO";1;-;1;1;-;2;-;-;-;-;-;-;5
"210910 PRESIDENTE DUTRA";1;-;-;-;1;-;-;-;-;-;-;-;2
"210955 RIBAMAR FIQUENE";1;-;-;-;-;-;-;-;-;-;-;-;1
"211030 SANTO ANTONIO DOS LOPES";1;-;1;1;-;-;-;-;-;-;-;-;3
"211070 SAO DOMINGOS DO MARANHAO";-;-;-;-;-;-;-;-;-;-;2;-;2
"211120 SAO JOSE DE RIBAMAR";1;-;-;1;-;1;-;-;1;-;-;-;4
"211130 SAO LUIS";6;7;5;6;8;2;9;12;14;7;10;4;90
"211163 SAO RAIMUNDO DO DOCA BEZERRA";-;-;-;-;-;-;1;-;-;-;-;-;1
"211176 SENADOR LA ROCQUE";-;-;-;-;-;-;-;-;-;1;-;1;2
"211220 TIMON";-;-;1;1;-;-;1;-;-;-;-;-;3
"211223 TRIZIDELA DO VALE";-;-;-;-;-;-;-;-;-;-;-;2;2
"211250 TUTOIA";1;-;-;-;-;-;-;-;-;-;-;-;1
"211270 VARGEM GRANDE";-;-;-;-;-;-;-;-;-;-;-;1;1
"211300 VITORINO FREIRE";-;-;-;1;-;-;-;-;-;-;-;-;1
"Total";34;23;24;40;28;29;35;38;33;21;26;20;351
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023
 
