LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2007
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";-;-;1;-;1;-;-;-;-;-;1;1;4
"210060 AMARANTE DO MARANHAO";-;1;-;1;-;-;-;-;-;-;-;-;2
"210120 BACABAL";-;-;-;-;2;-;-;1;-;-;-;-;3
"210140 BALSAS";-;-;1;2;-;1;-;-;-;-;-;-;4
"210160 BARRA DO CORDA";2;1;-;-;1;2;-;-;-;-;2;-;8
"210210 BREJO";-;-;2;1;-;-;-;-;-;-;1;-;4
"210280 CAROLINA";2;-;2;1;2;-;1;-;-;2;-;-;10
"210300 CAXIAS";9;2;1;2;3;1;5;8;3;1;2;1;38
"210320 CHAPADINHA";-;-;-;-;2;-;-;-;-;-;-;-;2
"210330 CODO";-;-;1;-;-;1;-;2;-;-;3;-;7
"210340 COELHO NETO";2;-;1;-;2;-;4;-;2;-;2;-;13
"210350 COLINAS";-;-;-;-;1;-;-;-;1;-;-;-;2
"210360 COROATA";-;-;2;2;-;-;-;1;-;-;-;-;5
"210405 ESTREITO";1;-;-;-;-;-;-;-;-;-;-;-;1
"210409 FORMOSA DA SERRA NEGRA";-;-;-;-;-;-;-;-;1;-;-;-;1
"210420 FORTUNA";-;1;-;-;-;-;-;-;-;-;-;-;1
"210455 GOVERNADOR EDISON LOBAO";-;-;-;-;-;-;-;-;1;-;1;-;2
"210480 GRAJAU";-;-;1;-;-;-;-;-;1;-;-;-;2
"210530 IMPERATRIZ";7;4;2;3;3;4;2;3;2;3;7;1;41
"210550 JOAO LISBOA";-;1;1;-;-;-;-;-;1;-;1;-;4
"210560 JOSELANDIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"210700 MONTES ALTOS";-;-;-;-;1;-;-;-;-;-;-;1;2
"210750 PACO DO LUMIAR";-;-;2;1;1;-;-;-;-;1;-;-;5
"210770 PARAIBANO";-;-;-;-;-;-;-;1;-;-;-;-;1
"210845 PERITORO";-;-;-;-;-;-;-;-;-;1;-;-;1
"210900 PORTO FRANCO";1;2;1;-;3;-;1;1;-;-;-;-;9
"210910 PRESIDENTE DUTRA";-;-;-;-;1;1;-;-;-;-;-;-;2
"210945 RAPOSA";-;-;1;-;-;1;-;-;-;-;-;-;2
"210950 RIACHAO";-;-;-;-;1;-;-;-;-;-;-;-;1
"211010 SANTA QUITERIA DO MARANHAO";-;-;-;-;-;-;-;-;1;-;-;-;1
"211030 SANTO ANTONIO DOS LOPES";-;-;1;-;-;-;-;-;-;-;-;-;1
"211070 SAO DOMINGOS DO MARANHAO";-;-;1;-;-;-;-;-;-;-;-;-;1
"211120 SAO JOSE DE RIBAMAR";1;1;1;1;-;-;1;-;2;-;-;-;7
"211130 SAO LUIS";-;4;7;6;8;12;14;13;6;11;6;5;92
"211174 SENADOR ALEXANDRE COSTA";1;-;1;-;-;-;-;-;-;-;-;-;2
"211220 TIMON";-;-;-;-;2;1;2;1;-;-;1;-;7
"211230 TUNTUM";-;-;-;-;-;-;-;-;-;-;1;-;1
"211250 TUTOIA";1;-;-;-;1;-;1;-;-;-;-;1;4
"211260 URBANO SANTOS";-;-;-;-;-;2;-;1;-;-;-;-;3
"211270 VARGEM GRANDE";-;-;-;2;-;-;-;-;-;-;-;-;2
"Total";27;17;30;22;35;27;31;32;21;19;28;10;299
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023
 
