LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2016
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";-;1;1;-;-;4;2;1;-;1;-;-;10
"210043 ALTO ALEGRE DO MARANHAO";-;-;-;-;-;-;-;-;-;-;-;1;1
"210060 AMARANTE DO MARANHAO";-;1;-;1;-;-;-;-;-;-;-;-;2
"210090 ARAIOSES";1;-;-;-;-;-;-;-;1;-;-;-;2
"210120 BACABAL";-;-;-;1;1;1;1;2;-;1;1;-;8
"210125 BACABEIRA";-;-;-;-;-;-;-;-;-;1;-;-;1
"210140 BALSAS";5;-;2;-;2;-;1;2;1;-;-;-;13
"210150 BARAO DE GRAJAU";-;-;-;-;-;1;-;-;-;1;-;-;2
"210160 BARRA DO CORDA";1;-;1;2;1;-;1;2;2;6;1;-;17
"210203 BOM JESUS DAS SELVAS";-;-;-;-;1;-;1;2;-;1;-;-;5
"210210 BREJO";-;-;-;-;-;-;-;-;-;1;-;-;1
"210220 BURITI";-;-;-;-;-;-;-;-;-;1;-;-;1
"210230 BURITI BRAVO";1;-;1;-;-;1;4;-;-;2;1;-;10
"210232 BURITICUPU";-;-;-;-;1;-;2;-;-;1;-;-;4
"210275 CAPINZAL DO NORTE";-;-;1;-;-;-;-;-;-;-;-;-;1
"210300 CAXIAS";4;-;1;1;2;-;5;1;3;1;3;-;21
"210315 CENTRO DO GUILHERME";-;-;-;-;-;-;-;-;1;-;-;-;1
"210320 CHAPADINHA";-;-;-;-;1;-;-;2;-;2;2;-;7
"210330 CODO";1;1;2;3;-;-;1;1;1;-;3;1;14
"210340 COELHO NETO";-;-;1;-;-;1;-;-;-;1;1;-;4
"210350 COLINAS";-;-;-;1;1;-;-;-;-;-;-;-;2
"210360 COROATA";2;-;-;-;1;2;-;2;1;-;-;2;10
"210380 DOM PEDRO";-;1;-;1;-;-;1;-;-;-;1;-;4
"210390 DUQUE BACELAR";-;-;1;-;1;-;-;-;-;1;-;-;3
"210405 ESTREITO";-;-;-;1;-;-;-;1;-;-;-;-;2
"210408 FERNANDO FALCAO";-;-;1;-;-;-;-;-;-;-;-;-;1
"210409 FORMOSA DA SERRA NEGRA";-;-;-;-;-;-;-;1;-;-;-;-;1
"210420 FORTUNA";-;1;-;-;-;-;-;-;-;-;1;-;2
"210440 GONCALVES DIAS";-;-;-;-;-;-;1;-;-;-;-;-;1
"210480 GRAJAU";1;-;1;-;-;2;1;1;-;2;1;1;10
"210515 IGARAPE DO MEIO";-;-;-;-;-;-;1;-;-;-;-;-;1
"210530 IMPERATRIZ";-;1;2;4;15;11;9;16;10;8;3;1;80
"210540 ITAPECURU MIRIM";1;1;-;-;1;-;-;-;-;-;-;1;4
"210545 JATOBA";-;-;-;-;-;-;-;-;-;1;-;-;1
"210547 JENIPAPO DOS VIEIRAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"210550 JOAO LISBOA";-;-;-;-;-;-;1;-;-;-;-;-;1
"210600 LIMA CAMPOS";-;-;-;-;-;-;-;1;-;-;-;-;1
"210660 MATOES";-;1;-;-;-;-;-;-;-;-;1;-;2
"210675 MIRANDA DO NORTE";-;-;-;1;-;-;-;-;-;-;-;1;2
"210690 MONCAO";-;-;-;-;-;-;-;1;1;-;-;-;2
"210720 NINA RODRIGUES";-;-;-;-;-;1;-;-;-;-;-;-;1
"210790 PASSAGEM FRANCA";-;-;-;-;-;-;-;1;-;-;-;-;1
"210810 PAULO RAMOS";-;1;-;-;-;-;1;1;1;-;-;-;4
"210820 PEDREIRAS";1;-;-;-;3;-;1;-;-;-;-;-;5
"210830 PENALVA";-;-;-;-;1;-;-;-;-;-;-;-;1
"210845 PERITORO";1;1;1;-;2;1;-;1;1;1;-;-;9
"210900 PORTO FRANCO";-;-;-;1;1;1;-;1;1;-;-;-;5
"210910 PRESIDENTE DUTRA";-;1;2;-;2;5;1;1;4;2;5;1;24
"210950 RIACHAO";-;-;1;-;-;-;-;1;-;-;-;-;2
"210955 RIBAMAR FIQUENE";-;-;-;-;-;-;-;-;1;-;-;-;1
"210990 SANTA INES";-;-;-;-;-;-;2;1;2;-;1;-;6
"211000 SANTA LUZIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"211070 SAO DOMINGOS DO MARANHAO";1;-;-;1;-;-;1;1;-;1;-;-;5
"211110 SAO JOAO DOS PATOS";-;-;-;1;-;-;-;1;-;-;-;-;2
"211120 SAO JOSE DE RIBAMAR";-;-;-;-;1;2;2;1;-;1;-;1;8
"211130 SAO LUIS";31;7;25;28;21;37;35;32;24;23;19;17;299
"211153 SAO PEDRO DA AGUA BRANCA";-;-;-;-;-;-;-;-;-;1;-;-;1
"211167 SAO ROBERTO";-;-;-;-;-;-;1;-;-;-;-;-;1
"211176 SENADOR LA ROCQUE";-;-;-;-;1;1;-;1;1;-;-;-;4
"211210 TIMBIRAS";-;1;-;1;-;1;1;-;1;-;-;-;5
"211230 TUNTUM";-;-;-;-;-;-;-;-;1;-;-;-;1
"211285 VILA NOVA DOS MARTIRIOS";-;-;-;1;-;-;-;-;-;-;-;-;1
"211400 ZE DOCA";-;-;-;-;-;1;-;-;-;-;-;-;1
"Total";51;19;44;49;60;74;77;79;59;61;44;27;644
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
