LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2021
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";-;-;-;-;-;-;-;1;-;1;-;-;2
"210060 AMARANTE DO MARANHAO";-;-;-;-;-;-;-;2;-;2;-;-;4
"210087 ARAGUANA";-;-;-;-;-;-;-;1;-;-;-;-;1
"210120 BACABAL";-;2;-;-;1;-;-;-;-;1;-;2;6
"210140 BALSAS";1;1;-;-;-;-;-;-;-;-;-;-;2
"210160 BARRA DO CORDA";1;-;-;-;2;-;-;-;-;-;-;-;3
"210170 BARREIRINHAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"210203 BOM JESUS DAS SELVAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"210220 BURITI";-;-;-;-;-;-;-;-;-;-;2;-;2
"210230 BURITI BRAVO";-;-;1;-;1;-;-;-;-;-;-;-;2
"210232 BURITICUPU";-;-;-;-;1;-;-;-;-;-;-;-;1
"210300 CAXIAS";1;2;-;1;-;-;3;1;1;2;-;-;11
"210320 CHAPADINHA";-;-;-;-;2;-;-;-;-;1;1;-;4
"210330 CODO";-;-;-;-;-;1;1;-;-;-;-;-;2
"210340 COELHO NETO";-;-;-;-;-;-;-;-;1;-;1;-;2
"210350 COLINAS";-;-;-;-;-;1;-;-;-;1;-;-;2
"210360 COROATA";-;-;-;-;-;-;-;-;-;-;1;-;1
"210405 ESTREITO";-;-;-;-;1;-;-;-;-;-;-;-;1
"210410 FORTALEZA DOS NOGUEIRAS";-;-;1;-;-;-;-;-;-;-;-;-;1
"210430 GODOFREDO VIANA";-;-;-;-;-;-;-;-;-;1;-;-;1
"210455 GOVERNADOR EDISON LOBAO";-;-;-;1;-;-;-;-;-;-;-;-;1
"210480 GRAJAU";-;-;-;1;-;2;2;-;-;-;1;-;6
"210530 IMPERATRIZ";5;1;6;3;5;5;4;5;2;3;4;4;47
"210540 ITAPECURU MIRIM";-;-;-;-;-;1;-;-;-;-;-;-;1
"210570 LAGO DA PEDRA";-;-;-;-;-;-;-;1;-;-;-;-;1
"210632 MARACACUME";1;-;3;-;-;-;-;-;-;-;-;-;4
"210635 MARAJA DO SENA";-;-;1;-;-;-;-;-;-;-;-;-;1
"210640 MATA ROMA";-;-;-;-;-;1;-;-;-;-;-;-;1
"210660 MATOES";-;-;1;-;-;-;-;-;-;-;-;-;1
"210675 MIRANDA DO NORTE";-;-;-;-;-;-;-;-;1;-;-;-;1
"210690 MONCAO";-;-;-;-;-;-;-;1;-;-;-;-;1
"210800 PASTOS BONS";-;1;-;-;-;-;-;-;-;-;-;-;1
"210820 PEDREIRAS";-;-;-;-;-;1;-;1;-;-;-;-;2
"210845 PERITORO";1;-;-;-;-;1;-;-;-;-;-;-;2
"210860 PINHEIRO";-;-;-;-;-;-;-;-;-;-;1;-;1
"210880 PIRAPEMAS";1;-;-;-;-;-;-;-;-;-;-;-;1
"210890 POCAO DE PEDRAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"210900 PORTO FRANCO";-;1;1;-;-;-;-;-;-;-;-;1;3
"210910 PRESIDENTE DUTRA";-;1;-;-;-;-;1;-;-;-;-;-;2
"210970 SAMBAIBA";-;1;-;-;-;-;-;-;-;-;-;-;1
"210990 SANTA INES";-;-;2;-;-;1;4;2;-;-;1;-;10
"211050 SAO BENTO";-;1;-;-;-;-;-;-;-;-;-;-;1
"211065 SAO DOMINGOS DO AZEITAO";-;-;-;1;-;-;-;-;-;-;-;-;1
