LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2013
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";-;2;-;2;1;2;5;1;1;1;1;2;18
"210010 AFONSO CUNHA";-;-;-;-;-;-;1;-;-;-;-;-;1
"210030 ALDEIAS ALTAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"210043 ALTO ALEGRE DO MARANHAO";-;-;-;-;-;4;1;2;-;-;-;-;7
"210060 AMARANTE DO MARANHAO";-;-;-;-;1;1;-;-;1;-;-;-;3
"210090 ARAIOSES";-;1;-;-;-;-;-;-;-;-;-;-;1
"210120 BACABAL";-;-;-;-;1;-;-;2;2;-;1;-;6
"210140 BALSAS";1;2;2;4;-;-;-;-;1;-;-;-;10
"210160 BARRA DO CORDA";3;3;3;1;4;1;6;1;1;3;3;1;30
"210210 BREJO";-;-;-;-;-;-;-;-;-;-;1;-;1
"210235 BURITIRANA";-;-;-;-;-;-;-;1;-;-;-;-;1
"210280 CAROLINA";-;-;-;-;-;1;-;-;-;-;-;-;1
"210300 CAXIAS";-;-;-;3;-;6;5;6;3;4;10;5;42
"210320 CHAPADINHA";1;1;-;-;-;-;-;3;1;-;-;1;7
"210330 CODO";-;-;-;-;2;-;-;1;-;1;-;-;4
"210340 COELHO NETO";-;2;-;-;-;1;1;1;1;1;-;-;7
"210350 COLINAS";-;-;-;-;1;1;-;1;1;1;1;-;6
"210360 COROATA";2;1;-;-;1;-;2;-;3;1;1;1;12
"210375 DAVINOPOLIS";-;-;2;2;-;-;-;-;-;-;1;-;5
"210380 DOM PEDRO";-;1;-;-;-;-;-;-;-;-;-;-;1
"210405 ESTREITO";-;1;-;1;-;-;-;-;-;-;-;-;2
"210450 GOVERNADOR ARCHER";-;-;1;-;-;-;1;1;1;-;-;-;4
"210455 GOVERNADOR EDISON LOBAO";-;-;1;-;-;-;-;1;-;-;-;-;2
"210480 GRAJAU";1;1;-;-;-;2;2;-;-;2;1;2;11
"210530 IMPERATRIZ";2;2;4;3;2;2;1;6;3;-;1;-;26
"210540 ITAPECURU MIRIM";1;1;1;-;2;2;4;1;1;3;-;-;16
"210550 JOAO LISBOA";-;-;-;-;-;-;-;1;-;-;-;-;1
"210570 LAGO DA PEDRA";-;-;1;-;-;-;-;-;1;-;-;-;2
"210590 LAGO VERDE";-;-;-;-;-;-;1;-;-;-;-;-;1
"210660 MATOES";-;1;-;-;-;-;-;-;-;-;-;-;1
"210675 MIRANDA DO NORTE";1;-;-;-;-;-;-;-;-;1;-;-;2
"210690 MONCAO";-;-;-;-;-;-;1;-;-;1;-;-;2
"210750 PACO DO LUMIAR";-;-;-;-;-;-;1;-;-;1;-;-;2
"210810 PAULO RAMOS";-;-;-;1;-;-;-;-;-;-;-;-;1
"210820 PEDREIRAS";-;-;-;-;-;2;-;-;-;-;-;-;2
"210890 POCAO DE PEDRAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"210900 PORTO FRANCO";-;-;-;-;1;-;1;3;5;-;1;-;11
"210910 PRESIDENTE DUTRA";-;2;-;-;2;1;1;-;-;-;-;3;9
"210940 PRIMEIRA CRUZ";-;-;-;-;-;-;1;-;-;-;-;-;1
"210945 RAPOSA";-;-;-;-;-;-;-;-;1;-;-;-;1
"210950 RIACHAO";-;1;-;-;-;-;-;-;-;-;-;-;1
"210955 RIBAMAR FIQUENE";-;-;-;-;-;-;1;-;-;-;-;-;1
"210990 SANTA INES";-;-;-;1;-;2;3;2;2;1;2;1;14
"211000 SANTA LUZIA";-;-;-;-;3;1;3;1;1;-;2;-;11
"211010 SANTA QUITERIA DO MARANHAO";-;-;-;-;-;-;-;-;1;-;-;-;1
"211020 SANTA RITA";-;-;-;-;-;1;3;1;-;-;-;1;6
"211070 SAO DOMINGOS DO MARANHAO";-;-;-;-;1;-;-;-;-;-;-;-;1
"211105 SAO JOAO DO PARAISO";-;-;-;-;-;-;-;-;-;1;-;-;1
"211107 SAO JOAO DO SOTER";-;-;-;-;-;1;-;-;-;1;1;-;3
"211110 SAO JOAO DOS PATOS";-;-;-;-;-;-;-;1;-;-;-;-;1
"211120 SAO JOSE DE RIBAMAR";-;-;-;-;1;1;2;1;-;2;-;2;9
"211130 SAO LUIS";11;9;11;18;19;23;23;11;15;13;19;18;190
"211180 SITIO NOVO";-;-;-;-;-;-;-;-;-;-;1;-;1
"211210 TIMBIRAS";-;-;-;1;-;2;1;1;-;-;-;-;5
"211220 TIMON";-;-;-;1;-;2;1;-;-;-;1;-;5
"211230 TUNTUM";-;-;-;-;-;-;-;-;-;3;-;1;4
"211250 TUTOIA";-;-;-;-;-;-;-;-;-;-;1;-;1
"211300 VITORINO FREIRE";-;-;-;-;-;-;1;-;-;-;-;-;1
"Total";23;31;26;38;42;59;73;50;48;41;49;38;518
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023
 
