LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2012
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";-;1;1;-;4;-;2;2;-;1;-;-;11
"210043 ALTO ALEGRE DO MARANHAO";-;-;-;-;-;-;-;-;1;1;-;-;2
"210060 AMARANTE DO MARANHAO";-;-;2;-;-;-;-;-;-;1;-;-;3
"210120 BACABAL";-;-;-;1;-;-;-;-;1;1;-;-;3
"210140 BALSAS";3;-;-;-;-;2;1;1;1;2;2;1;13
"210160 BARRA DO CORDA";1;1;1;1;1;-;-;-;-;-;2;-;7
"210215 BREJO DE AREIA";-;-;-;-;-;-;1;-;-;-;-;-;1
"210220 BURITI";-;-;1;-;-;-;-;-;-;-;-;-;1
"210280 CAROLINA";-;1;-;-;-;-;-;-;-;-;-;-;1
"210300 CAXIAS";3;-;-;2;5;4;1;1;1;-;3;-;20
"210320 CHAPADINHA";-;-;-;-;2;1;-;2;-;-;-;-;5
"210325 CIDELANDIA";-;-;-;-;-;-;-;-;1;-;-;-;1
"210330 CODO";-;-;-;-;-;-;-;3;1;-;-;-;4
"210340 COELHO NETO";-;-;-;-;-;-;2;1;1;1;1;-;6
"210350 COLINAS";1;1;1;-;-;1;-;1;-;1;-;-;6
"210360 COROATA";-;-;-;-;-;-;-;-;-;-;-;1;1
"210375 DAVINOPOLIS";1;-;-;-;-;-;-;-;-;-;-;-;1
"210405 ESTREITO";-;-;-;-;-;-;1;-;-;-;-;-;1
"210450 GOVERNADOR ARCHER";-;-;1;-;-;-;-;-;-;-;-;-;1
"210455 GOVERNADOR EDISON LOBAO";-;-;-;1;-;-;-;-;-;-;-;-;1
"210480 GRAJAU";-;1;-;-;-;-;1;-;1;2;1;-;6
"210530 IMPERATRIZ";3;6;2;2;1;1;2;3;1;2;1;-;24
"210540 ITAPECURU MIRIM";-;-;1;-;-;-;-;1;-;-;-;-;2
"210570 LAGO DA PEDRA";-;-;-;-;-;1;-;-;-;-;-;-;1
"210640 MATA ROMA";-;-;-;1;-;-;-;-;-;-;-;-;1
"210750 PACO DO LUMIAR";-;1;-;-;-;-;-;-;-;-;-;-;1
"210805 PAULINO NEVES";-;-;-;-;-;-;-;1;-;-;-;-;1
"210910 PRESIDENTE DUTRA";1;-;1;2;-;-;1;-;1;-;1;-;7
"211020 SANTA RITA";-;-;-;1;-;-;-;-;-;-;-;-;1
"211030 SANTO ANTONIO DOS LOPES";-;-;-;-;-;-;1;-;1;-;-;-;2
"211060 SAO BERNARDO";-;-;-;-;-;-;1;-;-;-;-;-;1
"211110 SAO JOAO DOS PATOS";-;-;-;1;-;-;-;-;-;-;-;-;1
"211120 SAO JOSE DE RIBAMAR";-;-;-;-;-;-;-;-;-;-;1;-;1
"211130 SAO LUIS";6;3;7;6;9;8;10;11;11;11;5;2;89
"211180 SITIO NOVO";-;-;-;-;1;-;-;-;-;-;-;-;1
"211220 TIMON";1;-;-;-;-;-;-;-;-;-;-;-;1
"211250 TUTOIA";-;-;-;-;1;-;-;-;-;-;-;-;1
"Total";20;15;18;18;24;18;24;27;22;23;17;4;230
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023
 
