LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2017
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 ACAILANDIA";1;1;-;-;1;2;3;-;2;1;-;1;12
"210030 ALDEIAS ALTAS";1;-;-;1;1;-;-;-;-;1;-;1;5
"210043 ALTO ALEGRE DO MARANHAO";-;1;-;-;-;1;-;-;-;2;-;-;4
"210060 AMARANTE DO MARANHAO";1;-;-;-;1;-;-;-;-;-;-;-;2
"210087 ARAGUANA";-;-;-;-;-;-;-;-;-;-;2;-;2
"210120 BACABAL";-;-;-;2;-;1;-;3;-;-;-;-;6
"210140 BALSAS";-;3;2;2;2;4;3;2;2;-;-;2;22
"210150 BARAO DE GRAJAU";-;-;-;-;-;-;-;-;-;2;-;-;2
"210160 BARRA DO CORDA";4;4;4;2;1;4;1;2;-;3;2;2;29
"210170 BARREIRINHAS";-;-;-;2;-;-;-;-;-;-;-;1;3
"210200 BOM JARDIM";-;-;-;-;-;-;1;-;-;-;-;-;1
"210203 BOM JESUS DAS SELVAS";-;-;-;-;2;-;-;3;-;-;-;-;5
"210220 BURITI";-;-;-;-;-;-;-;-;-;1;-;-;1
"210230 BURITI BRAVO";1;1;-;1;-;1;-;-;2;2;-;-;8
"210232 BURITICUPU";-;1;-;-;-;-;-;1;-;1;-;-;3
"210300 CAXIAS";3;3;3;1;1;4;2;4;1;4;3;1;30
"210320 CHAPADINHA";-;3;3;2;1;3;2;1;7;2;-;-;24
"210330 CODO";1;-;-;-;2;2;-;2;1;2;-;-;10
"210340 COELHO NETO";-;1;1;-;-;-;-;-;1;-;-;1;4
"210350 COLINAS";-;-;-;-;-;-;-;-;-;-;2;-;2
"210360 COROATA";-;4;-;-;3;1;-;1;1;-;-;1;11
"210390 DUQUE BACELAR";-;1;-;-;2;-;-;-;-;-;-;-;3
"210405 ESTREITO";-;-;-;-;-;1;-;-;-;-;-;-;1
"210409 FORMOSA DA SERRA NEGRA";-;1;-;-;-;-;1;-;-;-;-;-;2
"210420 FORTUNA";-;-;1;-;-;-;-;-;-;-;-;-;1
"210440 GONCALVES DIAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"210450 GOVERNADOR ARCHER";-;-;-;-;-;-;1;-;-;-;-;-;1
"210455 GOVERNADOR EDISON LOBAO";-;-;-;-;1;-;-;-;-;-;-;-;1
"210460 GOVERNADOR EUGENIO BARROS";-;-;-;-;1;-;-;-;-;-;1;-;2
"210480 GRAJAU";3;2;1;4;4;8;3;1;-;-;-;-;26
"210530 IMPERATRIZ";3;5;12;11;16;14;6;8;6;12;9;6;108
"210535 ITAIPAVA DO GRAJAU";2;-;-;-;-;-;-;-;-;-;-;-;2
"210540 ITAPECURU MIRIM";-;-;-;1;-;-;1;-;-;1;-;2;5
"210547 JENIPAPO DOS VIEIRAS";-;-;-;-;-;-;1;1;-;-;-;-;2
"210550 JOAO LISBOA";-;-;-;-;-;-;-;1;-;-;-;-;1
"210560 JOSELANDIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"210592 LAGOA DO MATO";-;-;-;-;-;-;1;-;-;-;-;-;1
"210660 MATOES";-;-;-;-;-;-;-;-;-;-;1;1;2
"210690 MONCAO";1;-;-;-;1;-;-;-;-;-;-;-;2
"210770 PARAIBANO";-;1;-;-;-;1;-;-;-;-;-;-;2
"210780 PARNARAMA";-;-;-;-;-;-;-;1;-;-;-;-;1
"210790 PASSAGEM FRANCA";-;-;1;-;1;-;-;2;-;-;-;1;5
"210810 PAULO RAMOS";-;-;-;-;-;-;-;1;-;-;-;-;1
"210820 PEDREIRAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"210845 PERITORO";-;-;1;-;1;-;-;2;1;1;-;2;8
"210850 PINDARE-MIRIM";-;1;1;-;-;-;-;-;-;-;-;-;2
"210900 PORTO FRANCO";-;-;-;-;-;1;-;-;-;-;-;-;1
"210910 PRESIDENTE DUTRA";3;4;1;5;3;5;2;2;3;-;1;3;32
"210930 PRESIDENTE VARGAS";-;-;-;-;-;1;-;-;-;-;-;-;1
