LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Amazonas
Casos confirmados por Município de notificação e Mês Notificação
Período:2014
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130010 ANORI";-;-;-;-;-;-;-;-;-;-;1;-;1
"130014 APUI";1;1;4;2;1;-;2;3;2;-;2;2;20
"130020 ATALAIA DO NORTE";-;1;-;-;1;-;-;-;-;1;-;-;3
"130030 AUTAZES";-;1;2;-;1;-;1;-;-;-;1;-;6
"130040 BARCELOS";1;-;2;2;4;2;4;4;1;2;2;1;25
"130050 BARREIRINHA";-;-;-;2;-;-;-;1;-;1;-;-;4
"130060 BENJAMIN CONSTANT";-;-;-;1;-;-;-;-;1;-;-;-;2
"130068 BOA VISTA DO RAMOS";-;-;-;-;1;1;-;1;-;-;1;-;4
"130070 BOCA DO ACRE";2;1;1;5;3;10;10;3;5;5;3;4;52
"130080 BORBA";1;-;1;1;-;1;-;-;-;-;-;-;4
"130083 CAAPIRANGA";2;3;2;1;-;1;-;-;-;-;-;-;9
"130090 CANUTAMA";-;-;1;-;-;-;-;1;-;-;-;-;2
"130100 CARAUARI";5;-;-;-;-;-;-;-;-;-;-;-;5
"130120 COARI";2;2;-;1;3;1;4;3;-;3;6;7;32
"130130 CODAJAS";-;-;-;-;-;-;-;-;-;-;1;-;1
"130140 EIRUNEPE";1;2;2;1;1;1;2;4;-;2;2;-;18
"130150 ENVIRA";1;4;-;3;-;-;-;4;5;1;2;4;24
"130160 FONTE BOA";-;-;-;-;-;-;-;-;-;1;1;-;2
"130165 GUAJARA";-;-;1;1;1;-;-;-;-;1;4;-;8
"130170 HUMAITA";4;8;7;5;8;12;6;5;2;1;-;4;62
"130180 IPIXUNA";-;-;-;2;1;6;1;2;-;1;1;-;14
"130190 ITACOATIARA";11;6;3;10;4;2;5;2;3;7;4;3;60
"130195 ITAMARATI";-;-;-;-;-;-;-;-;2;1;-;-;3
"130200 ITAPIRANGA";-;-;1;-;2;-;-;-;-;1;1;1;6
"130210 JAPURA";-;-;-;-;-;-;-;1;1;-;-;-;2
"130240 LABREA";7;2;2;1;14;8;4;6;2;-;5;10;61
"130250 MANACAPURU";4;5;4;5;2;-;-;-;-;-;-;-;20
"130260 MANAUS";89;103;154;153;73;45;41;21;18;31;75;69;872
"130270 MANICORE";5;4;2;-;4;4;1;7;2;7;2;1;39
"130280 MARAA";-;-;-;-;-;-;-;-;1;-;-;2;3
"130290 MAUES";4;1;4;3;4;5;6;4;3;8;2;8;52
"130300 NHAMUNDA";1;-;1;1;-;-;2;2;1;2;-;-;10
"130310 NOVA OLINDA DO NORTE";1;-;-;-;2;1;6;1;2;1;1;1;16
"130320 NOVO AIRAO";-;2;2;-;1;-;2;1;-;1;3;-;12
"130330 NOVO ARIPUANA";1;4;7;10;1;-;2;-;2;1;-;-;28
"130340 PARINTINS";-;-;2;-;2;-;1;1;-;1;2;-;9
"130350 PAUINI";-;-;3;2;4;4;2;6;2;1;1;1;26
"130353 PRESIDENTE FIGUEIREDO";12;13;34;21;22;15;13;3;5;6;23;24;191
