LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Amazonas
Casos confirmados por Município de notificação e Mês Notificação
Período:2016
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130006 AMATURA";-;-;-;2;-;-;-;-;-;-;-;-;2
"130014 APUI";1;-;1;1;1;1;1;4;1;2;-;-;13
"130020 ATALAIA DO NORTE";-;1;2;1;-;1;-;2;4;1;1;-;13
"130030 AUTAZES";-;-;-;-;-;-;-;-;-;-;-;1;1
"130040 BARCELOS";-;1;-;-;1;2;-;2;-;-;-;-;6
"130050 BARREIRINHA";-;-;-;-;-;-;-;-;-;1;-;-;1
"130068 BOA VISTA DO RAMOS";1;1;-;-;-;-;-;-;-;-;-;-;2
"130070 BOCA DO ACRE";-;3;3;2;6;8;6;7;7;1;-;4;47
"130080 BORBA";-;1;-;-;1;1;1;1;1;-;-;-;6
"130083 CAAPIRANGA";-;-;-;1;-;1;1;-;-;1;2;1;7
"130090 CANUTAMA";1;-;-;-;-;-;1;-;-;-;-;-;2
"130100 CARAUARI";-;2;1;1;-;1;-;1;2;-;-;-;8
"130120 COARI";-;-;-;1;-;-;1;-;-;-;-;-;2
"130140 EIRUNEPE";3;3;2;2;2;1;4;4;2;2;3;-;28
"130150 ENVIRA";5;2;3;2;-;3;-;1;4;-;3;1;24
"130165 GUAJARA";-;-;1;-;1;1;2;1;-;1;-;1;8
"130170 HUMAITA";1;-;-;1;7;4;-;2;1;1;2;1;20
"130180 IPIXUNA";-;-;1;1;2;3;2;2;2;-;2;2;17
"130190 ITACOATIARA";4;2;-;-;-;1;2;1;-;-;3;7;20
"130195 ITAMARATI";-;1;-;-;-;-;-;-;-;-;-;-;1
"130200 ITAPIRANGA";-;-;-;-;-;-;-;-;-;-;-;1;1
"130210 JAPURA";1;1;-;1;-;-;-;-;-;-;-;-;3
"130220 JURUA";-;-;-;-;-;1;-;-;-;-;-;-;1
"130240 LABREA";-;1;1;-;3;3;5;4;5;3;-;2;27
"130250 MANACAPURU";-;-;1;-;-;-;-;2;-;2;3;5;13
"130260 MANAUS";55;33;20;25;10;7;8;14;9;22;56;81;340
"130270 MANICORE";3;2;1;1;1;1;-;1;2;-;-;-;12
"130290 MAUES";3;3;4;3;2;-;2;-;1;-;4;3;25
"130300 NHAMUNDA";-;1;1;2;3;1;3;-;2;1;1;-;15
"130310 NOVA OLINDA DO NORTE";2;-;2;-;-;1;-;1;1;-;-;-;7
"130320 NOVO AIRAO";-;-;-;1;-;-;-;1;-;1;1;-;4
"130330 NOVO ARIPUANA";-;-;1;1;2;1;-;1;-;1;1;1;9
"130340 PARINTINS";1;1;-;-;-;-;-;-;3;4;1;-;10
"130350 PAUINI";-;1;1;-;2;4;1;-;2;3;1;-;15
"130353 PRESIDENTE FIGUEIREDO";9;8;10;3;4;4;-;-;2;5;17;12;74
"130356 RIO PRETO DA EVA";8;6;4;6;2;2;1;-;-;3;8;20;60
"130360 SANTA ISABEL DO RIO NEGRO";-;-;1;4;-;-;-;2;-;-;-;-;7
"130370 SANTO ANTONIO DO ICA";1;1;1;-;-;-;-;-;-;-;-;-;3
"130380 SAO GABRIEL DA CACHOEIRA";-;2;-;3;-;1;-;1;1;-;-;-;8
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;2;2;1;-;-;-;-;-;5
"130395 SAO SEBASTIAO DO UATUMA";-;-;-;-;-;1;-;-;-;1;-;-;2
"130400 SILVES";1;1;-;-;-;-;-;-;-;-;-;1;3
"130406 TABATINGA";1;2;-;-;1;-;-;1;-;-;-;-;5
"130410 TAPAUA";-;-;-;-;-;1;-;-;-;-;-;-;1
"130420 TEFE";-;-;1;-;-;-;-;-;-;-;-;1;2
"130423 TONANTINS";-;-;1;1;-;2;1;-;-;-;-;-;5
"130426 UARINI";1;-;2;-;-;-;-;-;-;-;-;-;3
"130430 URUCARA";2;-;-;-;-;1;-;-;-;-;-;-;3
"Total";104;80;66;66;53;61;43;56;52;56;109;145;891
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023.
 
