LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Amazonas
Casos confirmados por Município de notificação e Mês Notificação
Período:2018
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 ALVARAES";1;-;-;-;-;-;-;-;-;-;-;-;1
"130006 AMATURA";-;-;-;-;-;-;-;1;-;-;-;-;1
"130014 APUI";1;4;1;4;1;2;1;4;-;-;2;1;21
"130020 ATALAIA DO NORTE";5;1;3;3;2;1;6;1;-;-;2;-;24
"130030 AUTAZES";3;-;4;3;4;5;4;1;-;-;1;-;25
"130040 BARCELOS";3;-;2;-;3;-;-;-;-;3;1;-;12
"130050 BARREIRINHA";-;-;-;1;-;2;1;4;2;-;1;-;11
"130060 BENJAMIN CONSTANT";-;1;-;1;-;1;1;-;1;-;-;-;5
"130063 BERURI";-;-;-;1;-;-;-;-;-;-;-;-;1
"130068 BOA VISTA DO RAMOS";-;-;-;1;-;-;-;-;-;-;-;-;1
"130070 BOCA DO ACRE";5;4;4;1;5;8;6;8;5;3;2;9;60
"130080 BORBA";-;-;1;-;-;1;1;1;1;1;-;-;6
"130083 CAAPIRANGA";-;-;2;-;-;-;-;-;-;-;-;-;2
"130090 CANUTAMA";-;1;-;-;-;-;-;-;1;-;-;-;2
"130100 CARAUARI";-;-;1;-;-;2;-;-;-;-;-;1;4
"130110 CAREIRO";2;-;-;1;1;-;1;-;-;-;-;-;5
"130130 CODAJAS";-;-;-;-;-;-;2;-;-;-;-;-;2
"130140 EIRUNEPE";2;2;-;3;1;3;1;4;4;2;3;-;25
"130150 ENVIRA";2;2;2;3;3;1;-;-;6;4;5;6;34
"130160 FONTE BOA";-;-;-;1;-;1;1;-;-;-;-;-;3
"130165 GUAJARA";1;1;-;1;2;1;1;-;-;1;3;1;12
"130170 HUMAITA";2;8;1;8;7;8;4;4;2;2;3;3;52
"130180 IPIXUNA";-;-;-;-;-;1;-;1;-;1;-;1;4
"130190 ITACOATIARA";12;7;7;4;7;6;2;1;2;2;3;3;56
"130195 ITAMARATI";-;-;-;-;-;-;-;2;-;-;-;-;2
"130200 ITAPIRANGA";-;-;-;-;-;-;-;1;-;-;1;-;2
"130220 JURUA";-;-;-;-;2;-;-;-;1;-;-;-;3
"130230 JUTAI";1;-;-;-;-;-;-;-;-;-;-;-;1
"130240 LABREA";1;-;-;5;2;7;7;5;-;3;1;-;31
"130250 MANACAPURU";4;2;2;-;4;1;1;2;4;2;1;2;25
"130260 MANAUS";159;98;67;46;23;37;25;30;18;22;71;98;694
"130270 MANICORE";1;2;4;5;8;2;3;8;2;1;2;-;38
"130290 MAUES";1;2;4;3;3;4;3;3;2;1;-;-;26
"130300 NHAMUNDA";-;-;1;1;2;-;1;-;3;1;1;1;11
"130310 NOVA OLINDA DO NORTE";4;1;1;2;2;2;4;-;2;2;-;1;21
"130320 NOVO AIRAO";-;1;2;3;2;2;1;5;-;-;-;-;16
"130330 NOVO ARIPUANA";2;1;1;6;2;1;2;2;-;-;-;1;18
"130340 PARINTINS";1;-;2;3;2;7;9;3;2;3;3;-;35
"130350 PAUINI";1;2;3;2;5;2;3;1;5;1;3;1;29
"130353 PRESIDENTE FIGUEIREDO";28;22;18;14;28;18;17;6;15;16;18;19;219
"130356 RIO PRETO DA EVA";49;23;17;7;10;7;3;3;5;13;14;3;154
"130360 SANTA ISABEL DO RIO NEGRO";-;-;2;1;2;-;1;2;-;-;-;-;8
"130370 SANTO ANTONIO DO ICA";-;-;-;-;-;1;-;-;-;1;1;-;3
"130380 SAO GABRIEL DA CACHOEIRA";5;2;5;7;12;14;7;6;3;6;3;1;71
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;-;-;1;1;-;-;-;2
"130395 SAO SEBASTIAO DO UATUMA";-;-;1;-;-;1;-;-;-;-;-;-;2
"130400 SILVES";-;-;-;-;3;1;-;-;-;-;1;1;6
"130406 TABATINGA";-;-;-;1;1;-;-;-;-;1;-;-;3
"130410 TAPAUA";-;-;1;1;1;6;2;2;-;1;1;-;15
