LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Amazonas
Casos confirmados por Município de notificação e Mês Notificação
Período:2013
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 ALVARAES";-;-;-;-;-;1;-;-;-;-;-;-;1
"130014 APUI";1;-;-;1;1;-;-;1;1;1;2;2;10
"130020 ATALAIA DO NORTE";-;-;1;2;-;-;-;-;-;-;-;-;3
"130030 AUTAZES";1;-;1;-;-;-;1;-;-;1;1;-;5
"130040 BARCELOS";-;2;-;2;1;1;-;1;2;1;-;1;11
"130050 BARREIRINHA";-;-;-;1;-;-;1;-;4;1;1;-;8
"130060 BENJAMIN CONSTANT";-;-;-;-;1;-;-;1;-;-;1;-;3
"130068 BOA VISTA DO RAMOS";-;-;-;1;-;-;-;-;-;-;-;-;1
"130070 BOCA DO ACRE";2;3;8;7;1;16;5;8;7;6;2;-;65
"130080 BORBA";-;-;-;-;-;-;-;-;1;-;-;-;1
"130083 CAAPIRANGA";-;-;2;2;-;1;-;-;-;-;-;-;5
"130090 CANUTAMA";1;1;-;-;-;-;-;-;1;-;-;-;3
"130100 CARAUARI";5;-;-;1;1;-;1;-;-;-;-;1;9
"130120 COARI";2;-;4;2;-;1;1;2;-;1;1;3;17
"130130 CODAJAS";-;-;-;-;-;-;-;-;-;-;-;1;1
"130140 EIRUNEPE";1;1;4;2;4;4;2;1;-;3;2;-;24
"130150 ENVIRA";1;1;1;2;1;1;3;1;-;1;1;-;13
"130160 FONTE BOA";-;-;-;-;-;-;-;-;-;-;-;1;1
"130165 GUAJARA";-;1;1;-;2;-;1;1;-;-;-;-;6
"130170 HUMAITA";4;1;3;17;8;2;-;11;5;5;2;4;62
"130180 IPIXUNA";2;1;1;1;-;4;1;-;1;-;-;-;11
"130190 ITACOATIARA";14;5;8;4;5;3;1;1;3;1;3;10;58
"130195 ITAMARATI";-;1;-;1;-;-;-;-;-;-;-;-;2
"130200 ITAPIRANGA";3;-;1;-;-;-;-;-;-;-;-;1;5
"130210 JAPURA";-;-;-;1;-;-;-;-;1;-;-;-;2
"130240 LABREA";2;3;3;3;7;10;10;6;1;2;2;2;51
"130250 MANACAPURU";3;1;1;4;3;4;5;1;2;1;1;1;27
"130260 MANAUS";140;90;96;85;34;27;31;26;28;33;56;69;715
"130270 MANICORE";-;-;2;2;2;1;1;1;1;1;1;-;12
"130290 MAUES";7;4;1;2;2;6;7;5;4;7;2;-;47
"130300 NHAMUNDA";1;1;-;-;-;1;2;1;1;-;-;1;8
"130310 NOVA OLINDA DO NORTE";1;-;-;-;-;1;1;-;-;1;1;1;6
"130320 NOVO AIRAO";-;-;-;-;-;-;-;-;2;1;1;1;5
"130330 NOVO ARIPUANA";1;2;13;15;8;-;1;2;1;-;1;-;44
"130340 PARINTINS";2;-;1;2;1;-;1;2;-;-;1;1;11
"130350 PAUINI";1;-;-;-;1;-;-;2;4;2;-;1;11
"130353 PRESIDENTE FIGUEIREDO";22;17;11;10;5;6;3;2;1;6;13;11;107
"130356 RIO PRETO DA EVA";32;8;19;12;4;1;3;2;2;3;7;7;100
"130360 SANTA ISABEL DO RIO NEGRO";1;1;-;1;1;1;-;-;-;-;-;1;6
"130370 SANTO ANTONIO DO ICA";-;-;-;-;1;-;1;-;-;1;2;-;5
"130380 SAO GABRIEL DA CACHOEIRA";1;-;1;-;1;1;-;2;-;-;1;-;7
"130390 SAO PAULO DE OLIVENCA";-;1;-;-;-;-;-;-;-;-;-;-;1
"130395 SAO SEBASTIAO DO UATUMA";-;-;-;2;-;-;-;-;1;-;-;-;3
"130406 TABATINGA";-;1;-;-;2;1;1;2;-;-;8;3;18
"130410 TAPAUA";-;-;-;-;-;-;-;-;1;1;-;-;2
"130420 TEFE";1;1;2;1;-;-;1;-;-;-;1;-;7
"Total";252;147;185;186;97;94;85;82;75;80;114;123;1520
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023.
 
