LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Amazonas
Casos confirmados por Município de notificação e Mês Notificação
Período:2009
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 ALVARAES";1;-;-;-;-;-;-;-;-;-;-;-;1
"130014 APUI";3;3;6;14;2;3;1;2;4;2;-;-;40
"130020 ATALAIA DO NORTE";-;-;-;-;-;1;-;-;-;-;1;1;3
"130030 AUTAZES";-;1;1;-;-;-;-;-;-;-;-;-;2
"130040 BARCELOS";1;1;3;5;-;4;4;-;2;1;1;3;25
"130063 BERURI";1;-;-;-;-;-;1;-;1;-;-;-;3
"130070 BOCA DO ACRE";2;7;3;1;6;2;9;1;1;1;2;1;36
"130080 BORBA";-;1;-;-;-;-;-;1;1;-;-;-;3
"130083 CAAPIRANGA";1;-;2;-;-;1;-;-;-;-;-;-;4
"130090 CANUTAMA";-;-;-;1;-;-;-;-;1;1;-;-;3
"130100 CARAUARI";2;1;9;-;1;-;1;-;1;2;-;1;18
"130110 CAREIRO";-;2;-;-;1;-;-;-;-;-;-;-;3
"130120 COARI";15;25;14;4;3;7;4;-;5;11;12;20;120
"130130 CODAJAS";2;1;-;-;1;-;1;-;-;1;-;-;6
"130140 EIRUNEPE";-;-;1;2;1;-;3;1;-;1;1;-;10
"130150 ENVIRA";1;3;-;-;-;-;2;3;-;2;-;-;11
"130160 FONTE BOA";-;-;-;-;-;1;-;-;-;-;-;-;1
"130165 GUAJARA";-;-;-;-;-;-;2;-;-;-;-;1;3
"130170 HUMAITA";1;3;2;4;5;8;5;5;6;3;8;2;52
"130180 IPIXUNA";-;1;-;-;-;-;1;-;-;1;-;2;5
"130190 ITACOATIARA";15;11;19;4;2;2;-;1;1;1;3;2;61
"130195 ITAMARATI";-;-;-;-;-;-;-;1;-;-;-;-;1
"130200 ITAPIRANGA";-;-;-;-;-;1;-;1;1;-;1;-;4
"130210 JAPURA";1;1;-;2;-;-;-;-;-;1;-;-;5
"130240 LABREA";1;1;1;-;4;3;3;1;2;2;-;-;18
"130250 MANACAPURU";1;2;2;1;1;1;2;-;1;3;-;-;14
"130260 MANAUS";159;107;103;29;38;18;32;20;18;22;40;45;631
"130270 MANICORE";2;-;-;5;5;5;4;6;2;-;-;-;29
"130290 MAUES";2;2;2;1;3;5;2;1;2;1;2;-;23
"130300 NHAMUNDA";-;3;1;1;2;-;1;-;-;-;-;-;8
"130310 NOVA OLINDA DO NORTE";-;-;1;1;1;1;-;-;-;2;-;-;6
"130320 NOVO AIRAO";-;1;-;1;1;1;1;-;-;1;1;3;10
"130330 NOVO ARIPUANA";2;1;3;6;2;2;1;-;-;-;-;-;17
"130340 PARINTINS";-;1;-;-;-;1;-;1;-;-;-;-;3
"130350 PAUINI";-;-;-;-;1;6;1;-;-;1;-;-;9
"130353 PRESIDENTE FIGUEIREDO";25;9;15;1;5;4;3;2;3;8;5;22;102
"130356 RIO PRETO DA EVA";20;32;29;4;4;3;3;2;1;4;12;12;126
"130360 SANTA ISABEL DO RIO NEGRO";2;2;4;2;2;5;4;3;1;-;-;-;25
"130380 SAO GABRIEL DA CACHOEIRA";1;9;3;2;3;1;2;1;-;-;2;1;25
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;1;-;-;-;-;1;-;-;2
"130400 SILVES";1;1;1;-;-;-;-;-;-;-;1;-;4
"130406 TABATINGA";-;1;-;2;-;1;1;2;-;-;-;-;7
"130410 TAPAUA";-;-;1;-;-;1;1;-;-;-;-;-;3
"130420 TEFE";3;5;1;1;2;5;-;2;1;4;12;6;42
"130426 UARINI";-;1;1;-;-;-;-;-;-;-;-;-;2
"130430 URUCARA";-;1;-;-;-;1;-;-;-;-;-;-;2
"130440 URUCURITUBA";1;-;1;1;-;1;-;-;-;-;-;-;4
"Total";266;240;229;95;97;95;95;57;55;77;104;122;1532
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023.
 
