LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Amazonas
Casos confirmados por Município de notificação e Mês Notificação
Período:2022
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130006 AMATURA";-;1;-;-;-;-;-;-;-;-;-;-;1
"130008 ANAMA";-;-;-;-;-;-;1;1;-;2;1;-;5
"130014 APUI";1;1;3;4;5;7;1;1;1;-;1;2;27
"130020 ATALAIA DO NORTE";6;-;1;1;1;2;1;2;-;1;-;-;15
"130030 AUTAZES";-;-;-;-;-;1;-;2;-;-;-;-;3
"130040 BARCELOS";-;-;1;1;-;1;2;1;-;1;1;-;8
"130050 BARREIRINHA";-;-;-;-;-;-;2;1;-;-;-;-;3
"130060 BENJAMIN CONSTANT";-;-;-;-;2;1;1;-;-;-;-;2;6
"130068 BOA VISTA DO RAMOS";-;-;-;-;-;-;-;-;-;-;1;-;1
"130070 BOCA DO ACRE";5;5;7;6;15;11;3;7;7;6;5;5;82
"130080 BORBA";-;2;-;-;1;2;1;2;1;-;1;-;10
"130083 CAAPIRANGA";1;-;2;1;-;-;-;-;1;-;-;-;5
"130090 CANUTAMA";-;-;-;-;1;-;-;-;1;-;-;-;2
"130100 CARAUARI";-;-;-;-;1;-;-;-;-;-;-;-;1
"130110 CAREIRO";-;-;-;-;-;-;-;1;-;-;-;-;1
"130120 COARI";-;1;-;-;-;-;-;-;-;-;-;-;1
"130130 CODAJAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"130140 EIRUNEPE";-;2;8;4;-;2;1;1;2;1;3;-;24
"130150 ENVIRA";1;4;2;2;1;-;4;2;3;-;1;-;20
"130160 FONTE BOA";-;-;-;-;1;-;-;-;-;-;-;-;1
"130165 GUAJARA";1;-;-;-;-;-;-;1;3;2;1;1;9
"130170 HUMAITA";1;2;6;8;6;2;6;3;7;-;1;8;50
"130180 IPIXUNA";1;-;3;2;1;1;1;2;4;1;-;-;16
"130185 IRANDUBA";1;-;-;-;-;-;-;-;-;-;-;-;1
"130190 ITACOATIARA";15;18;8;3;2;2;-;-;-;1;9;11;69
"130195 ITAMARATI";-;-;1;1;-;2;-;-;1;-;-;1;6
"130200 ITAPIRANGA";1;2;2;2;4;1;2;-;-;2;-;3;19
"130210 JAPURA";2;-;-;1;1;3;4;-;4;-;-;-;15
"130220 JURUA";-;-;-;1;1;-;-;-;-;-;-;-;2
"130240 LABREA";2;2;3;2;5;3;3;3;1;1;2;2;29
"130250 MANACAPURU";1;2;1;2;5;2;-;2;2;-;1;3;21
"130260 MANAUS";25;22;12;8;23;7;11;4;5;10;9;32;168
"130270 MANICORE";-;1;4;2;2;2;4;2;2;1;1;-;21
"130280 MARAA";-;-;-;-;-;-;-;-;-;-;-;1;1
"130290 MAUES";-;-;1;2;4;3;3;3;1;1;1;2;21
"130300 NHAMUNDA";3;-;1;1;1;-;-;1;1;2;4;6;20
"130310 NOVA OLINDA DO NORTE";1;1;1;1;1;1;-;1;-;1;-;-;8
"130320 NOVO AIRAO";1;1;1;4;3;1;2;-;-;-;1;-;14
"130330 NOVO ARIPUANA";2;2;2;8;-;4;-;1;-;1;1;-;21
"130340 PARINTINS";1;1;1;-;-;-;-;2;-;1;2;1;9
"130350 PAUINI";-;-;-;3;1;4;-;-;-;3;-;1;12
"130353 PRESIDENTE FIGUEIREDO";2;5;6;1;1;3;-;1;-;1;4;4;28
"130356 RIO PRETO DA EVA";13;12;4;5;-;-;2;-;-;-;3;3;42
"130360 SANTA ISABEL DO RIO NEGRO";1;-;-;-;2;-;-;-;-;-;-;-;3
"130380 SAO GABRIEL DA CACHOEIRA";-;1;-;2;2;-;4;1;2;-;1;2;15
"130390 SAO PAULO DE OLIVENCA";-;-;2;-;-;-;-;-;-;-;-;-;2
"130395 SAO SEBASTIAO DO UATUMA";2;-;-;-;1;-;1;-;-;-;-;-;4
"130400 SILVES";-;2;-;1;2;-;2;1;-;2;1;1;12
"130406 TABATINGA";-;-;-;-;1;-;-;1;-;-;-;1;3
"130410 TAPAUA";3;-;-;1;1;2;-;1;-;-;-;1;9
"130420 TEFE";-;-;-;-;-;1;1;-;-;-;-;1;3
"130423 TONANTINS";-;-;-;-;-;-;-;-;1;1;-;-;2
"130426 UARINI";-;-;3;-;1;-;-;-;-;-;-;-;4
"130430 URUCARA";-;1;-;-;-;-;-;-;-;1;-;-;2
"130440 URUCURITUBA";-;2;1;-;-;-;-;-;-;-;-;-;3
"Total";93;93;87;81;99;71;63;51;50;43;56;94;881
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023.
 
