LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Amazonas
Casos confirmados por Município de notificação e Mês Notificação
Período:2017
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 ALVARAES";-;-;-;-;-;1;-;1;-;1;-;-;3
"130006 AMATURA";-;-;-;-;1;-;-;-;-;-;-;-;1
"130010 ANORI";-;2;1;-;1;-;-;-;-;-;-;2;6
"130014 APUI";-;2;2;5;6;5;1;3;-;2;-;1;27
"130020 ATALAIA DO NORTE";1;4;2;1;4;3;-;2;1;-;-;1;19
"130030 AUTAZES";1;2;2;-;-;2;6;3;1;1;2;1;21
"130040 BARCELOS";-;-;3;2;2;3;-;7;5;5;1;-;28
"130050 BARREIRINHA";-;1;-;-;-;-;-;-;1;-;-;-;2
"130060 BENJAMIN CONSTANT";-;-;1;-;1;1;-;-;-;-;-;1;4
"130068 BOA VISTA DO RAMOS";-;-;-;-;-;-;-;1;1;-;-;-;2
"130070 BOCA DO ACRE";6;1;7;7;3;2;9;5;3;1;-;5;49
"130080 BORBA";-;-;-;-;-;2;-;1;-;1;1;-;5
"130083 CAAPIRANGA";1;-;-;1;2;1;-;-;1;-;-;-;6
"130090 CANUTAMA";-;-;-;1;-;-;-;1;1;-;-;-;3
"130100 CARAUARI";1;2;4;2;2;3;2;2;-;-;3;-;21
"130120 COARI";2;-;2;-;-;2;1;1;-;-;-;-;8
"130140 EIRUNEPE";2;2;2;4;4;2;1;5;1;-;2;-;25
"130150 ENVIRA";3;5;5;2;3;5;-;1;-;5;-;3;32
"130165 GUAJARA";1;6;1;-;2;3;-;2;-;1;-;-;16
"130170 HUMAITA";1;2;4;3;4;6;7;1;3;1;2;2;36
"130180 IPIXUNA";-;5;4;-;-;2;2;-;-;1;1;-;15
"130190 ITACOATIARA";5;11;31;14;14;10;4;3;2;9;15;11;129
"130200 ITAPIRANGA";-;3;1;-;-;-;-;-;1;-;-;2;7
"130210 JAPURA";1;-;-;1;-;-;-;-;-;-;-;-;2
"130230 JUTAI";-;-;1;-;-;-;-;-;-;-;1;-;2
"130240 LABREA";-;-;1;6;7;9;7;8;-;3;-;2;43
"130250 MANACAPURU";2;1;3;2;1;6;-;2;1;4;1;2;25
"130260 MANAUS";93;85;40;100;67;11;25;14;21;72;98;102;728
"130270 MANICORE";1;-;3;4;2;1;7;4;2;2;1;2;29
"130280 MARAA";1;-;-;1;-;1;-;-;-;-;-;-;3
"130290 MAUES";-;-;1;1;7;2;1;4;3;3;-;-;22
"130300 NHAMUNDA";2;1;1;1;-;-;1;-;1;-;5;3;15
"130310 NOVA OLINDA DO NORTE";-;3;-;-;3;2;-;3;3;-;-;2;16
"130320 NOVO AIRAO";-;1;-;1;-;-;1;2;-;-;-;1;6
"130330 NOVO ARIPUANA";1;1;2;5;-;2;-;1;-;-;1;-;13
"130340 PARINTINS";-;-;-;1;-;-;3;-;-;4;4;3;15
"130350 PAUINI";2;-;2;3;5;3;5;6;3;1;2;-;32
"130353 PRESIDENTE FIGUEIREDO";22;18;42;17;13;7;5;4;7;16;19;20;190
"130356 RIO PRETO DA EVA";34;28;23;3;11;3;5;6;10;37;46;29;235
"130360 SANTA ISABEL DO RIO NEGRO";1;-;2;3;3;5;3;1;-;-;-;1;19
"130380 SAO GABRIEL DA CACHOEIRA";1;1;-;-;2;3;5;-;1;1;2;-;16
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;-;-;1;2;-;1;-;4
"130395 SAO SEBASTIAO DO UATUMA";-;2;-;-;-;-;-;-;-;1;-;-;3
"130400 SILVES";1;-;2;-;1;-;-;-;-;2;-;2;8
"130406 TABATINGA";1;1;3;-;1;-;1;2;-;-;-;1;10
"130410 TAPAUA";-;-;1;-;-;2;1;1;1;-;1;-;7
"130420 TEFE";-;-;-;-;1;1;-;-;-;-;-;-;2
"130423 TONANTINS";-;-;1;-;-;-;-;-;-;-;-;-;1
"130426 UARINI";1;-;-;-;-;-;2;-;-;-;-;-;3
