LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Amazonas
Casos confirmados por Município de notificação e Mês Notificação
Período:2021
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130006 AMATURA";-;-;-;1;-;-;-;1;1;-;-;-;3
"130010 ANORI";-;1;-;-;-;-;-;-;-;-;-;-;1
"130014 APUI";2;1;3;4;1;3;5;6;2;-;3;1;31
"130020 ATALAIA DO NORTE";-;2;1;-;-;4;1;2;1;-;-;2;13
"130030 AUTAZES";-;-;-;-;1;-;-;-;-;1;1;1;4
"130040 BARCELOS";2;-;-;-;3;3;1;2;2;3;1;-;17
"130050 BARREIRINHA";-;-;-;-;-;-;-;2;-;-;-;2;4
"130060 BENJAMIN CONSTANT";-;-;-;-;-;1;-;-;1;-;2;-;4
"130068 BOA VISTA DO RAMOS";1;-;-;-;-;3;-;1;-;-;-;-;5
"130070 BOCA DO ACRE";4;-;3;6;14;9;6;8;5;6;7;-;68
"130080 BORBA";-;-;-;-;1;-;6;1;2;-;-;-;10
"130083 CAAPIRANGA";-;1;-;-;-;-;-;-;-;-;-;-;1
"130090 CANUTAMA";-;-;1;1;1;-;-;-;1;1;-;-;5
"130100 CARAUARI";-;-;1;1;-;1;-;-;-;-;-;-;3
"130110 CAREIRO";-;-;-;-;-;-;-;1;-;-;-;1;2
"130140 EIRUNEPE";2;-;3;5;6;6;3;4;1;2;2;2;36
"130150 ENVIRA";7;1;4;5;5;5;-;1;1;1;-;-;30
"130160 FONTE BOA";1;1;-;-;-;1;-;1;-;-;2;-;6
"130165 GUAJARA";-;-;-;-;-;1;-;-;1;1;2;-;5
"130170 HUMAITA";2;1;3;3;8;8;14;15;6;6;-;4;70
"130180 IPIXUNA";-;2;3;5;2;-;1;2;6;1;4;1;27
"130185 IRANDUBA";-;1;-;-;-;-;-;-;-;-;-;-;1
"130190 ITACOATIARA";12;14;6;6;7;3;7;5;7;7;17;20;111
"130195 ITAMARATI";-;-;-;-;-;-;-;1;-;1;-;-;2
"130200 ITAPIRANGA";-;-;-;-;-;1;-;-;-;-;1;2;4
"130210 JAPURA";-;-;-;1;-;-;-;1;-;-;2;1;5
"130220 JURUA";-;-;-;1;-;-;-;-;-;-;-;-;1
"130240 LABREA";1;2;2;5;11;6;9;8;2;1;-;1;48
"130250 MANACAPURU";-;2;5;4;1;-;1;3;-;-;-;5;21
"130260 MANAUS";74;76;41;23;15;8;17;5;6;9;13;15;302
"130270 MANICORE";2;1;1;3;3;-;3;1;-;1;-;-;15
"130290 MAUES";1;-;1;1;4;-;2;3;3;1;2;-;18
"130300 NHAMUNDA";-;2;1;-;-;1;2;1;1;1;2;3;14
"130310 NOVA OLINDA DO NORTE";-;-;-;-;1;-;1;-;-;-;-;2;4
"130320 NOVO AIRAO";1;-;-;1;-;-;-;-;1;-;-;-;3
"130330 NOVO ARIPUANA";1;1;2;4;3;3;2;1;1;-;2;2;22
"130340 PARINTINS";-;-;-;1;-;-;-;-;2;3;2;5;13
"130350 PAUINI";1;1;5;1;2;3;9;-;2;2;3;2;31
"130353 PRESIDENTE FIGUEIREDO";31;26;12;4;4;2;2;-;1;-;1;4;87
"130356 RIO PRETO DA EVA";18;9;6;2;3;2;1;1;-;-;11;10;63
"130360 SANTA ISABEL DO RIO NEGRO";-;-;2;1;5;4;3;-;-;1;1;-;17
"130380 SAO GABRIEL DA CACHOEIRA";1;3;5;6;3;9;5;3;2;1;2;4;44
"130390 SAO PAULO DE OLIVENCA";-;-;1;-;-;-;1;-;-;-;-;1;3
"130395 SAO SEBASTIAO DO UATUMA";-;1;-;-;-;-;1;2;-;-;-;1;5
"130400 SILVES";1;2;1;-;-;2;-;-;-;-;3;1;10
"130406 TABATINGA";-;1;1;-;-;1;-;1;-;-;-;-;4
"130410 TAPAUA";2;-;1;1;3;2;-;2;1;2;-;-;14
"130420 TEFE";-;-;-;-;-;-;1;1;-;-;-;-;2
"130423 TONANTINS";-;-;-;-;-;-;1;-;-;-;-;-;1
"130426 UARINI";2;1;1;1;-;-;-;-;-;-;-;-;5
"130430 URUCARA";-;1;1;-;-;-;-;-;-;-;-;-;2
"Total";169;154;117;97;107;92;105;86;59;52;86;93;1217
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023.
 
