LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Amazonas
Casos confirmados por Município de notificação e Mês Notificação
Período:2007
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 ALVARAES";-;-;-;-;-;1;-;-;1;-;-;-;2
"130014 APUI";3;7;4;7;14;2;12;3;8;3;5;5;73
"130030 AUTAZES";-;1;-;-;-;2;2;-;1;1;1;-;8
"130040 BARCELOS";-;4;2;-;1;1;2;-;2;2;-;1;15
"130060 BENJAMIN CONSTANT";-;-;1;-;-;-;-;-;1;-;-;-;2
"130070 BOCA DO ACRE";1;2;2;6;3;2;2;9;2;5;6;-;40
"130080 BORBA";1;2;-;1;-;-;1;-;1;-;-;-;6
"130083 CAAPIRANGA";-;-;-;-;-;-;1;-;-;-;1;-;2
"130100 CARAUARI";1;1;3;1;3;2;3;1;-;-;1;1;17
"130120 COARI";1;1;1;-;1;-;-;-;1;-;5;4;14
"130130 CODAJAS";-;-;-;-;-;-;2;-;-;-;-;-;2
"130140 EIRUNEPE";2;-;2;3;4;7;2;3;4;2;2;5;36
"130150 ENVIRA";1;2;-;2;2;3;-;4;-;2;4;2;22
"130170 HUMAITA";1;1;-;-;-;-;1;-;-;1;1;-;5
"130180 IPIXUNA";-;-;-;3;-;5;2;3;-;6;2;1;22
"130190 ITACOATIARA";5;4;18;8;20;15;6;1;4;3;15;7;106
"130195 ITAMARATI";1;-;-;-;1;-;-;-;-;-;-;-;2
"130200 ITAPIRANGA";-;-;1;-;-;-;-;2;-;-;2;-;5
"130210 JAPURA";-;-;1;1;-;-;-;-;-;-;-;-;2
"130220 JURUA";-;-;-;-;1;1;1;-;2;1;-;2;8
"130240 LABREA";1;1;1;1;4;8;7;2;2;2;-;-;29
"130250 MANACAPURU";2;-;-;-;2;-;-;-;-;2;1;1;8
"130260 MANAUS";95;127;151;208;139;66;35;22;35;63;122;87;1150
"130270 MANICORE";-;1;1;3;3;4;-;1;-;-;-;-;13
"130280 MARAA";-;-;-;-;-;1;-;-;1;1;-;-;3
"130290 MAUES";3;-;-;-;1;2;-;2;1;-;-;-;9
"130300 NHAMUNDA";1;1;2;-;-;-;1;1;-;-;-;-;6
"130310 NOVA OLINDA DO NORTE";-;-;-;1;2;-;-;-;-;-;-;-;3
"130320 NOVO AIRAO";-;1;1;-;4;1;2;-;-;-;1;4;14
"130330 NOVO ARIPUANA";-;-;-;3;2;2;1;1;-;-;-;2;11
"130340 PARINTINS";1;1;2;3;7;3;-;1;4;-;1;2;25
"130350 PAUINI";-;-;-;1;-;1;-;-;-;-;-;-;2
"130353 PRESIDENTE FIGUEIREDO";22;28;35;43;33;12;8;5;6;11;17;-;220
"130356 RIO PRETO DA EVA";40;53;42;38;37;27;6;13;11;14;28;23;332
"130360 SANTA ISABEL DO RIO NEGRO";1;1;1;2;-;-;1;-;-;-;-;-;6
"130370 SANTO ANTONIO DO ICA";-;-;1;-;-;-;1;-;-;1;-;-;3
"130380 SAO GABRIEL DA CACHOEIRA";2;-;1;1;1;3;1;2;2;2;-;1;16
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;-;-;1;-;-;1;-;2
"130395 SAO SEBASTIAO DO UATUMA";1;-;-;-;-;-;-;-;-;-;1;-;2
"130400 SILVES";-;-;-;-;-;-;-;-;-;-;1;-;1
"130406 TABATINGA";-;-;-;1;-;1;-;-;-;-;-;-;2
"130420 TEFE";5;-;-;-;2;-;3;2;-;-;-;-;12
"130426 UARINI";-;-;-;1;-;1;-;-;-;-;1;-;3
"130430 URUCARA";-;-;2;-;2;-;-;-;1;-;-;-;5
"Total";191;239;275;338;289;173;103;79;90;122;219;148;2266
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023.
 
