LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Amazonas
Casos confirmados por Município de notificação e Mês Notificação
Período:2015
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130006 AMATURA";1;-;-;-;-;-;-;-;-;-;-;-;1
"130010 ANORI";-;-;1;-;-;-;-;-;-;-;-;-;1
"130014 APUI";1;3;-;2;1;-;1;2;-;1;2;1;14
"130020 ATALAIA DO NORTE";1;-;-;-;-;-;1;2;2;-;-;3;9
"130030 AUTAZES";-;3;3;1;-;2;-;-;1;-;2;-;12
"130040 BARCELOS";-;-;1;4;2;2;2;1;2;-;1;1;16
"130050 BARREIRINHA";2;-;1;-;2;-;1;-;1;-;-;-;7
"130060 BENJAMIN CONSTANT";-;1;1;-;-;-;2;-;-;-;-;-;4
"130063 BERURI";-;-;1;-;-;-;-;-;-;-;-;-;1
"130068 BOA VISTA DO RAMOS";-;-;-;1;1;-;-;-;-;-;-;1;3
"130070 BOCA DO ACRE";3;2;3;7;2;7;6;5;5;-;5;3;48
"130080 BORBA";-;-;1;-;1;1;2;1;2;-;-;-;8
"130083 CAAPIRANGA";1;1;-;-;-;1;-;-;-;-;-;1;4
"130090 CANUTAMA";-;-;-;1;1;1;-;-;1;-;-;-;4
"130100 CARAUARI";-;1;1;-;1;-;-;1;-;2;1;6;13
"130120 COARI";4;-;-;1;1;-;2;5;1;-;1;-;15
"130130 CODAJAS";1;-;-;-;-;-;-;-;-;-;-;-;1
"130140 EIRUNEPE";1;1;3;5;5;3;3;1;1;-;1;-;24
"130150 ENVIRA";10;5;4;3;5;2;1;1;3;-;3;2;39
"130165 GUAJARA";-;-;1;-;-;-;-;-;-;-;2;1;4
"130170 HUMAITA";1;1;4;-;4;4;5;2;3;-;1;1;26
"130180 IPIXUNA";-;-;1;1;3;1;1;1;-;-;-;-;8
"130190 ITACOATIARA";3;4;11;2;3;2;3;-;-;7;7;5;47
"130200 ITAPIRANGA";-;-;-;-;-;3;1;-;-;1;1;-;6
"130210 JAPURA";-;-;-;-;1;-;1;-;-;-;1;1;4
"130230 JUTAI";-;1;-;-;-;-;-;-;-;-;-;-;1
"130240 LABREA";2;2;-;9;8;11;5;4;3;4;3;4;55
"130250 MANACAPURU";-;2;-;2;-;-;-;1;2;2;5;2;16
"130260 MANAUS";98;93;71;47;25;11;13;11;30;64;156;114;733
"130270 MANICORE";4;3;-;2;6;5;8;5;3;-;2;3;41
"130280 MARAA";-;1;-;-;-;-;-;1;-;-;-;-;2
"130290 MAUES";2;4;4;4;-;1;2;1;5;1;2;2;28
"130300 NHAMUNDA";-;1;1;4;-;1;1;2;3;3;3;2;21
"130310 NOVA OLINDA DO NORTE";-;-;1;3;-;1;1;-;-;1;-;-;7
"130320 NOVO AIRAO";2;-;2;1;1;-;2;-;1;-;-;1;10
"130330 NOVO ARIPUANA";-;2;4;8;3;1;2;-;-;1;-;3;24
"130340 PARINTINS";-;2;-;3;-;1;2;-;-;1;3;1;13
"130350 PAUINI";-;-;2;4;-;3;1;1;-;2;-;-;13
"130353 PRESIDENTE FIGUEIREDO";23;16;16;8;2;5;-;-;10;19;53;41;193
"130356 RIO PRETO DA EVA";17;17;10;7;2;2;2;-;6;21;66;19;169
"130360 SANTA ISABEL DO RIO NEGRO";1;-;1;-;1;1;-;-;4;-;1;-;9
"130370 SANTO ANTONIO DO ICA";-;-;-;-;-;1;-;-;-;-;1;-;2
"130380 SAO GABRIEL DA CACHOEIRA";-;-;-;-;-;-;-;1;1;-;-;-;2
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;-;1;-;-;-;-;-;1
"130395 SAO SEBASTIAO DO UATUMA";-;2;-;-;-;-;-;-;-;-;-;-;2
"130400 SILVES";1;-;1;2;-;-;-;-;-;1;1;1;7
"130406 TABATINGA";-;-;-;-;1;-;-;1;-;-;-;-;2
"130410 TAPAUA";-;-;2;-;-;-;1;1;-;1;-;-;5
"130420 TEFE";1;2;-;-;-;1;1;1;-;-;-;-;6
"130423 TONANTINS";-;-;-;-;1;-;-;3;2;-;1;-;7
"130426 UARINI";-;-;-;-;-;-;-;-;-;-;1;-;1
"130430 URUCARA";-;1;1;1;1;-;-;-;-;-;-;1;5
"130440 URUCURITUBA";-;-;-;1;-;-;-;1;1;-;-;-;3
"Total";180;171;153;134;84;74;74;56;93;132;326;220;1697
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023.
 
