LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Amazonas
Casos confirmados por Município de notificação e Mês Notificação
Período:2012
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 ALVARAES";-;-;-;1;1;-;-;-;-;1;-;-;3
"130006 AMATURA";1;-;1;1;-;-;-;-;1;-;-;-;4
"130010 ANORI";-;-;1;-;-;3;-;-;-;-;-;-;4
"130014 APUI";5;-;4;1;4;1;5;1;-;1;1;-;23
"130020 ATALAIA DO NORTE";1;-;2;2;-;-;-;1;1;-;-;-;7
"130030 AUTAZES";3;5;1;3;3;1;-;4;1;5;3;1;30
"130040 BARCELOS";1;-;1;1;3;1;2;3;1;2;2;1;18
"130050 BARREIRINHA";1;1;-;-;-;1;1;-;-;-;1;-;5
"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;-;1;-;-;1;-;2
"130068 BOA VISTA DO RAMOS";-;-;1;-;-;-;-;-;-;-;1;1;3
"130070 BOCA DO ACRE";6;2;8;4;14;7;8;8;1;3;1;3;65
"130080 BORBA";-;-;-;1;1;3;3;1;2;2;1;1;15
"130083 CAAPIRANGA";2;1;-;-;-;-;-;-;-;-;-;-;3
"130090 CANUTAMA";-;-;-;1;1;-;-;1;-;-;-;1;4
"130100 CARAUARI";6;5;9;10;6;3;3;7;-;-;-;3;52
"130110 CAREIRO";-;1;-;-;-;1;-;-;-;-;1;-;3
"130120 COARI";3;-;8;5;3;4;1;1;1;1;1;-;28
"130140 EIRUNEPE";1;3;6;4;2;1;-;1;-;1;2;1;22
"130150 ENVIRA";4;3;5;3;1;3;3;-;-;5;-;-;27
"130160 FONTE BOA";-;1;-;-;-;-;-;-;-;-;-;-;1
"130165 GUAJARA";-;-;1;-;3;1;-;-;3;2;-;-;10
"130170 HUMAITA";2;7;9;14;13;15;16;9;5;4;3;2;99
"130180 IPIXUNA";1;-;-;2;3;5;3;1;1;-;-;-;16
"130190 ITACOATIARA";17;27;13;13;7;3;6;1;7;5;22;10;131
"130195 ITAMARATI";-;-;1;-;-;-;-;-;-;2;1;-;4
"130200 ITAPIRANGA";-;1;-;-;-;-;-;-;-;-;1;3;5
"130210 JAPURA";1;-;2;-;-;-;-;1;1;-;-;-;5
"130220 JURUA";-;-;-;-;-;-;1;-;1;-;-;-;2
"130240 LABREA";2;-;3;8;9;13;9;8;5;2;3;1;63
"130250 MANACAPURU";1;4;-;6;1;2;1;2;3;-;4;4;28
"130260 MANAUS";182;154;130;84;49;43;38;25;30;42;67;86;930
"130270 MANICORE";-;2;-;4;10;3;2;2;2;2;-;-;27
"130280 MARAA";-;1;1;-;-;-;-;1;-;-;-;-;3
"130290 MAUES";3;4;6;2;3;12;7;3;7;4;5;-;56
"130300 NHAMUNDA";-;1;2;2;-;1;3;-;1;4;2;-;16
"130310 NOVA OLINDA DO NORTE";-;1;-;2;2;3;2;6;3;1;-;-;20
"130320 NOVO AIRAO";2;1;1;-;-;1;2;-;-;-;-;-;7
"130330 NOVO ARIPUANA";-;1;5;14;9;1;2;1;-;-;1;-;34
"130340 PARINTINS";-;1;1;3;2;-;1;1;-;1;2;-;12
"130350 PAUINI";1;1;1;1;-;-;-;-;-;1;-;-;5
"130353 PRESIDENTE FIGUEIREDO";46;48;33;17;13;9;8;2;2;9;14;11;212
"130356 RIO PRETO DA EVA";41;50;41;15;8;6;2;-;3;7;16;13;202
"130360 SANTA ISABEL DO RIO NEGRO";-;-;3;1;1;4;2;-;-;-;1;-;12
"130380 SAO GABRIEL DA CACHOEIRA";1;3;3;3;-;4;5;1;1;1;1;-;23
"130395 SAO SEBASTIAO DO UATUMA";1;2;1;3;-;-;-;-;1;-;-;-;8
"130400 SILVES";-;1;2;-;-;1;2;-;2;-;-;4;12
"130406 TABATINGA";1;-;-;-;-;1;-;-;-;1;-;-;3
"130410 TAPAUA";1;1;-;2;1;1;1;3;2;1;1;-;14
"130420 TEFE";15;12;9;4;6;1;2;3;4;1;1;-;58
"130430 URUCARA";-;-;2;1;2;-;-;-;-;-;1;2;8
